Term,Asymptomatic,Symptomatic
Cellular Response To Ionizing Radiation,1.0,1.655323286339329
Cellular Response To Lectin,1.0,2.5749473343056235
Cellular Response To Leucine Starvation,1.0,3.3106465726786585
Cellular Response To Light Stimulus,1.0,2.1646535282898918
Cellular Response To Lipid,1.0,1.4713984767460704
Cellular Response To Lipopolysaccharide,1.0,2.185026737967915
Cellular Response To Mechanical Stimulus,1.0,2.771704107358877
Cellular Response To Metal Ion,1.0,1.5428255872677241
Cellular Response To Misfolded Protein,1.0,2.439423790394801
Cellular Response To Molecule Of Bacterial Origin,1.0,1.9723000858511157
Cellular Response To Nutrient Levels,1.0,1.629856774241801
Cellular Response To Organic Cyclic Compound,1.0,1.5550006629248245
Cellular Response To Organonitrogen Compound,1.0,1.6367241482905723
Cellular Response To Osmotic Stress,1.0,2.4077429619481148
Cellular Response To Oxidative Stress,1.0,1.671394386206701
Cellular Response To Oxygen-Containing Compound,1.0,1.5496643531687335
Cellular Response To Peptide,1.0,1.7215362177929023
Cellular Response To Peptide Hormone Stimulus,1.0,2.030529897909577
Cellular Response To Reactive Oxygen Species,1.0,2.3121976063152534
Cellular Response To Starvation,1.0,1.6865558011759203
Cellular Response To Transforming Growth Factor Beta Stimulus,1.0,2.309753422799064
Cellular Response To Tumor Necrosis Factor,1.0,1.891798041530662
Cellular Response To UV,1.0,1.976505416524572
Cellular Response To Vascular Endothelial Growth Factor Stimulus,1.0,2.291986088777533
Cellular Response To Virus,1.0,2.3647475519133274
Central Nervous System Development,1.0,1.2941618420471117
Chaperone Cofactor-Dependent Protein Refolding,1.0,2.3030584853416753
Chromatin Organization,1.0,1.8960975825341406
Chromatin Remodeling,1.0,1.7272938640062565
Circulatory System Development,1.0,1.8564373304740138
Clathrin Coat Assembly,1.0,4.213550183409201
Clathrin-Dependent Endocytosis,1.0,2.2070977151191054
Contact Inhibition,1.0,4.965969859017988
Coronary Vasculature Morphogenesis,1.0,5.517744287797764
Cytokine-Mediated Signaling Pathway,1.0,1.3993454585548966
Cytoplasmic Sequestering Of NF-kappaB,1.0,4.729495103826655
Cytoplasmic Sequestering Of Transcription Factor,1.0,3.56531169365394
Cytoplasmic Translation,1.0,2.4077429619481148
Cytoskeleton-Dependent Cytokinesis,1.0,1.9656964025279533
Cytosolic Transport,1.0,1.947439160399211
DNA Damage Response,1.0,1.6504689658515306
"DNA Damage Response, Signal Transduction By P53 Class Mediator",1.0,2.336926992479053
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest",1.0,2.6485172581429266
DNA Metabolic Process,1.0,1.387069315035327
DNA Repair,1.0,1.3295769368187382
DNA Replication,1.0,1.504839351217572
DNA-templated Transcription,1.0,1.2946662574721008
DNA-templated Transcription Initiation,1.0,1.7735606639349955
Digestive Tract Development,1.0,2.913368983957219
ERAD Pathway,1.0,1.4810787298825576
ERBB Signaling Pathway,1.0,2.1188138065143414
ERBB2-EGFR Signaling Pathway,1.0,3.9727758872143903
ERK1 And ERK2 Cascade,1.0,2.6485172581429266
Embryonic Digestive Tract Development,1.0,2.8968157510938264
Embryonic Organ Development,1.0,1.7587809917355373
Endocardial Cushion Development,1.0,2.1067750917046006
Endoderm Development,1.0,2.8376970622959927
Endoderm Formation,1.0,1.7526952443592898
Endosomal Transport,1.0,1.4058910103155948
Ephrin Receptor Signaling Pathway,1.0,2.090934677481258
Epiboly Involved In Wound Healing,1.0,3.310646572678658
Epidermal Growth Factor Receptor Signaling Pathway,1.0,2.3647475519133274
Epithelial To Mesenchymal Transition,1.0,2.925687668878814
Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation,1.0,3.310646572678658
Epithelial Tube Morphogenesis,1.0,1.986387943607195
Erythrocyte Differentiation,1.0,2.317452600875061
Establishment Of Protein Localization To Organelle,1.0,2.147446425521292
Establishment Of Protein Localization To Plasma Membrane,1.0,2.1421830764391316
Extrinsic Apoptotic Signaling Pathway,1.0,2.6050989424356654
Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand,1.0,3.310646572678658
Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors,1.0,2.546651209752814
Eye Morphogenesis,1.0,2.726414824558895
Facultative Heterochromatin Formation,1.0,3.6116144429221726
Fat Cell Differentiation,1.0,2.3297142548479446
Fc-epsilon Receptor Signaling Pathway,1.0,2.317452600875061
G1/S Transition Of Mitotic Cell Cycle,1.0,2.9681658927463834
G2/M Transition Of Mitotic Cell Cycle,1.0,2.336926992479053
Gene Expression,1.0,1.482760627145654
Generation Of Neurons,1.0,1.5243264795067202
Glial Cell Development,1.0,2.317452600875061
Glial Cell Differentiation,1.0,2.2070977151191054
Glucose Homeostasis,1.0,1.7526952443592898
Golgi To Endosome Transport,1.0,3.8624210014584346
Golgi To Plasma Membrane Protein Transport,1.0,2.291986088777533
Golgi To Plasma Membrane Transport,1.0,1.7341482047364398
Golgi To Vacuole Transport,1.0,3.055981451703377
Growth Hormone Receptor Signaling Pathway,1.0,3.56531169365394
Growth Hormone Receptor Signaling Pathway Via JAK-STAT,1.0,3.7835960830613233
Heart Development,1.0,1.8335888710220263
Heart Morphogenesis,1.0,1.7215362177929023
Heart Trabecula Morphogenesis,1.0,2.336926992479053
Hemopoiesis,1.0,2.1575000136557545
Hepaticobiliary System Development,1.0,2.726414824558895
Hepatocyte Growth Factor Receptor Signaling Pathway,1.0,5.297034516285853
Heterochromatin Formation,1.0,3.188030032949819
Heterochromatin Organization,1.0,3.026876866449059
Histone Deacetylation,1.0,2.407742961948115
Histone Deubiquitination,1.0,2.135901014631392
Histone Modification,1.0,1.4810787298825576
I-kappaB kinase/NF-kappaB Signaling,1.0,1.9863879436071952
Import Into Nucleus,1.0,2.139187016192364
Inflammatory Response,1.0,1.499850933478729
Inflammatory Response To Wounding,1.0,5.297034516285853
Insulin Receptor Signaling Pathway,1.0,2.617720545838939
Integrin-Mediated Signaling Pathway,1.0,1.7587809917355373
Interleukin-6-Mediated Signaling Pathway,1.0,4.074641935604502
Internal Protein Amino Acid Acetylation,1.0,3.310646572678658
Intracellular Estrogen Receptor Signaling Pathway,1.0,2.726414824558895
Intracellular Glucose Homeostasis,1.0,3.225758199020231
Intracellular Protein Transport,1.0,1.6905429307295277
Intracellular Steroid Hormone Receptor Signaling Pathway,1.0,2.090934677481258
Intrinsic Apoptotic Signaling Pathway,1.0,2.4394237903948004
Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator,1.0,2.2701576498367944
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage,1.0,2.758872143898882
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator,1.0,2.7879129033083436
Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress,1.0,3.0096787024351435
Lipopolysaccharide-Mediated Signaling Pathway,1.0,3.115902656638737
Liver Development,1.0,2.546651209752814
Lysosomal Transport,1.0,1.5579513283193687
MAPK Cascade,1.0,1.9474391603992107
Macroautophagy,1.0,1.439411553338547
Macromolecule Biosynthetic Process,1.0,1.462371492226156
Macrophage Differentiation,1.0,2.7879129033083436
Maintenance Of Blood-Brain Barrier,1.0,3.0347593582887695
Maintenance Of DNA Repeat Elements,1.0,3.9727758872143903
Membrane Organization,1.0,1.5092653493093884
Mesenchymal Cell Differentiation,1.0,2.7809431210500732
Mesenchyme Development,1.0,2.8376970622959927
Metaphase Plate Congression,1.0,1.9128180197698914
Microtubule Cytoskeleton Organization Involved In Mitosis,1.0,2.084481175390266
Mitochondrial Fragmentation Involved In Apoptotic Process,1.0,4.138308215848323
Mitochondrial Fusion,1.0,2.207097715119106
Mitochondrion Organization,1.0,1.487391938449832
Mitotic Cell Cycle Phase Transition,1.0,2.567440199220184
Mitotic Cytokinesis,1.0,2.2070977151191054
Mitotic DNA Damage Checkpoint Signaling,1.0,2.2070977151191054
Mitotic G1 DNA Damage Checkpoint Signaling,1.0,2.482984929508994
Mitotic Metaphase Plate Congression,1.0,2.1067750917046006
Mitotic Sister Chromatid Segregation,1.0,1.5891103548857561
Mitotic Spindle Organization,1.0,1.6977674731685428
Modification-Dependent Protein Catabolic Process,1.0,1.9026704440681943
Modulation By Host Of Symbiont Process,1.0,2.3264002943147326
Monoubiquitinated Histone Deubiquitination,1.0,2.1188138065143414
Monoubiquitinated Histone H2A Deubiquitination,1.0,2.1188138065143414
Monoubiquitinated Protein Deubiquitination,1.0,2.3494911160945313
Myelin Maintenance,1.0,2.9427969534921408
Myeloid Cell Differentiation,1.0,2.1131786634119094
Myeloid Leukocyte Differentiation,1.0,1.6019257609735442
Myoblast Differentiation,1.0,3.5053904887185796
NIK/NF-kappaB Signaling,1.0,2.135901014631392
NLS-bearing Protein Import Into Nucleus,1.0,3.56531169365394
Negative Regulation By Host Of Viral Transcription,1.0,2.758872143898882
Negative Regulation Of Amide Metabolic Process,1.0,2.5982289557731244
Negative Regulation Of Angiogenesis,1.0,2.0291059638998226
Negative Regulation Of Anoikis,1.0,3.531356344190568
Negative Regulation Of Apoptotic Process,1.0,2.0571007830236323
Negative Regulation Of Apoptotic Signaling Pathway,1.0,1.952432594143824
Negative Regulation Of Autophagy,1.0,2.3297142548479446
Negative Regulation Of Binding,1.0,1.6786376988229819
Negative Regulation Of Blood Vessel Endothelial Cell Migration,1.0,2.2832045328818333
Negative Regulation Of Blood Vessel Morphogenesis,1.0,2.084481175390266
Negative Regulation Of Canonical Wnt Signaling Pathway,1.0,1.5382802256890735
Negative Regulation Of Carbohydrate Metabolic Process,1.0,2.697563874034462
Negative Regulation Of Cardiac Muscle Cell Differentiation,1.0,3.9727758872143903
Negative Regulation Of Cardiac Muscle Hypertrophy,1.0,5.149894668611247
Negative Regulation Of Cell Adhesion,1.0,1.6019257609735442
Negative Regulation Of Cell Adhesion Mediated By Integrin,1.0,3.310646572678658
Negative Regulation Of Cell Cycle,1.0,2.207097715119106
Negative Regulation Of Cell Cycle G1/S Phase Transition,1.0,1.8622386971317455
Negative Regulation Of Cell Cycle Phase Transition,1.0,3.3106465726786585
Negative Regulation Of Cell Development,1.0,3.136402016221887
Negative Regulation Of Cell Differentiation,1.0,1.8058072214610863
Negative Regulation Of Cell Growth,1.0,2.073334217233099
Negative Regulation Of Cell Junction Assembly,1.0,2.7087108321916293
Negative Regulation Of Cell Migration,1.0,1.3835537915672005
Negative Regulation Of Cell Motility,1.0,1.5793910254980754
Negative Regulation Of Cell Population Proliferation,1.0,1.8018601018513352
Negative Regulation Of Cell-Cell Adhesion,1.0,2.391022524712364
Negative Regulation Of Cell-Matrix Adhesion,1.0,2.0548840795936503
Negative Regulation Of Cell-Substrate Adhesion,1.0,2.0231729055258465
Negative Regulation Of Cellular Biosynthetic Process,1.0,2.340284646203879
Negative Regulation Of Cellular Catabolic Process,1.0,2.2832045328818333
Negative Regulation Of Cellular Metabolic Process,1.0,1.867544220485397
Negative Regulation Of Cellular Process,1.0,1.5183580025996684
Negative Regulation Of Cellular Response To Insulin Stimulus,1.0,2.383665532328634
Negative Regulation Of Cellular Senescence,1.0,2.482984929508994
Negative Regulation Of Cyclin-Dependent Protein Kinase Activity,1.0,2.9427969534921408
Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity,1.0,2.726414824558895
Negative Regulation Of Cysteine-Type Endopeptidase Activity,1.0,2.422424321472189
Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,1.0,2.617720545838939
Negative Regulation Of Cytoplasmic Translation,1.0,4.138308215848323
"Negative Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator",1.0,3.9727758872143903
Negative Regulation Of DNA-binding Transcription Factor Activity,1.0,1.681598259138366
Negative Regulation Of DNA-templated Transcription,1.0,1.6299767578088094
"Negative Regulation Of DNA-templated Transcription, Elongation",1.0,2.6485172581429266
Negative Regulation Of Defense Response,1.0,1.674349990780011
Negative Regulation Of ERK1 And ERK2 Cascade,1.0,1.7764445024129383
Negative Regulation Of Endothelial Cell Apoptotic Process,1.0,2.383665532328634
Negative Regulation Of Endothelial Cell Migration,1.0,2.0691541079241613
Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway,1.0,2.207097715119106
Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity,1.0,3.3106465726786585
Negative Regulation Of Epithelial Cell Apoptotic Process,1.0,2.5749473343056235
Negative Regulation Of Epithelial Cell Differentiation,1.0,3.055981451703377
Negative Regulation Of Epithelial Cell Proliferation,1.0,1.986387943607195
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway,1.0,2.1726118133203696
Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand,1.0,2.7879129033083436
Negative Regulation Of Fat Cell Differentiation,1.0,2.8376970622959927
Negative Regulation Of Fatty Acid Oxidation,1.0,3.7835960830613233
Negative Regulation Of Fibroblast Proliferation,1.0,2.726414824558895
Negative Regulation Of Gene Expression,1.0,2.19187635156656
"Negative Regulation Of Gene Expression, Epigenetic",1.0,2.522397388707549
Negative Regulation Of Growth,1.0,1.891798041530662
Negative Regulation Of Hormone Secretion,1.0,3.310646572678658
Negative Regulation Of Insulin Receptor Signaling Pathway,1.0,2.2070977151191054
Negative Regulation Of Intracellular Signal Transduction,1.0,1.4045167278030672
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway,1.0,2.0548840795936503
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator,1.0,2.8376970622959927
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage,1.0,3.0096787024351435
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator,1.0,3.3106465726786585
Negative Regulation Of Ion Transmembrane Transporter Activity,1.0,2.439423790394801
Negative Regulation Of Lipid Catabolic Process,1.0,2.482984929508994
Negative Regulation Of Lipid Localization,1.0,2.9427969534921408
Negative Regulation Of Lipid Storage,1.0,2.5749473343056235
Negative Regulation Of MAP Kinase Activity,1.0,1.9562911565828434
Negative Regulation Of MAPK Cascade,1.0,1.9128180197698914
Negative Regulation Of Macromolecule Biosynthetic Process,1.0,2.987656663149033
Negative Regulation Of Macromolecule Metabolic Process,1.0,2.18018188932497
Negative Regulation Of Membrane Potential,1.0,3.7835960830613233
Negative Regulation Of Mitochondrion Organization,1.0,1.891798041530662
Negative Regulation Of Mitotic Cell Cycle,1.0,3.2038515219470884
Negative Regulation Of Mitotic Cell Cycle Phase Transition,1.0,1.9684925567278506
Negative Regulation Of Multicellular Organismal Process,1.0,1.3373055121165023
Negative Regulation Of NF-kappaB Transcription Factor Activity,1.0,1.6800296040458862
Negative Regulation Of Nervous System Development,1.0,3.115902656638737
Negative Regulation Of Neurogenesis,1.0,2.6485172581429266
Negative Regulation Of Neuron Apoptotic Process,1.0,1.7367326282904434
Negative Regulation Of Nitrogen Compound Metabolic Process,1.0,4.414195430238212
"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay",1.0,4.414195430238212
Negative Regulation Of Nucleic Acid-Templated Transcription,1.0,1.8411248797039477
Negative Regulation Of Organelle Assembly,1.0,2.0548840795936503
Negative Regulation Of Phosphorylation,1.0,1.504839351217572
Negative Regulation Of Programmed Cell Death,1.0,2.2206798549044535
Negative Regulation Of Protein Kinase Activity,1.0,1.5211078847442483
Negative Regulation Of Protein Localization,1.0,2.2070977151191054
Negative Regulation Of Protein Metabolic Process,1.0,2.0415653864851726
Negative Regulation Of Protein Phosphorylation,1.0,1.5119488284674187
Negative Regulation Of Protein Processing,1.0,3.055981451703377
Negative Regulation Of Protein Serine/Threonine Kinase Activity,1.0,2.399019255564245
Negative Regulation Of Ras Protein Signal Transduction,1.0,2.2832045328818333
Negative Regulation Of Receptor Signaling Pathway Via STAT,1.0,3.055981451703377
Negative Regulation Of Regulated Secretory Pathway,1.0,4.414195430238211
Negative Regulation Of Response To External Stimulus,1.0,1.582078893138474
Negative Regulation Of Response To Stimulus,1.0,2.015176174673966
Negative Regulation Of Rho Protein Signal Transduction,1.0,2.8968157510938264
Negative Regulation Of Sequestering Of Triglyceride,1.0,3.9727758872143903
Negative Regulation Of Signal Transduction,1.0,1.488272312488571
Negative Regulation Of Signal Transduction By P53 Class Mediator,1.0,3.3106465726786585
Negative Regulation Of Signal Transduction In Absence Of Ligand,1.0,2.7879129033083436
Negative Regulation Of Signaling Receptor Activity,1.0,2.7087108321916293
Negative Regulation Of Stem Cell Differentiation,1.0,4.414195430238211
Negative Regulation Of Striated Muscle Cell Differentiation,1.0,2.6485172581429266
Negative Regulation Of Transcription By RNA Polymerase II,1.0,1.6631684203978092
Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway,1.0,1.6313330937836867
Negative Regulation Of Translation,1.0,2.3949358185334977
Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway,1.0,1.724295089936801
Negative Regulation Of Vitamin Metabolic Process,1.0,3.9727758872143903
Negative Regulation Of Wnt Signaling Pathway,1.0,1.4774786357408887
Negative Regulation Of mRNA Catabolic Process,1.0,2.482984929508994
Negative Regulation Of miRNA Metabolic Process,1.0,2.7879129033083436
Negative Regulation Of miRNA Processing,1.0,5.297034516285853
Negative Regulation Of miRNA Transcription,1.0,2.7879129033083436
Nervous System Development,1.0,1.265835454259487
Neuroblast Proliferation,1.0,3.9727758872143903
Neuron Apoptotic Process,1.0,3.5053904887185796
Neuron Development,1.0,1.4951307102419746
Neuron Differentiation,1.0,1.6313330937836867
Non-Canonical Wnt Signaling Pathway,1.0,1.937939457177751
Non-Membrane-Bounded Organelle Assembly,1.0,1.573376588995798
Notch Signaling Involved In Heart Development,1.0,3.9727758872143903
Nuclear Export,1.0,2.257259026826358
Nuclear-Transcribed mRNA Catabolic Process,1.0,1.7526952443592898
Nucleic Acid Metabolic Process,1.0,2.4077429619481148
Nucleotide Biosynthetic Process,1.0,2.8968157510938264
Organelle Assembly,1.0,1.318647363694042
Organelle Transport Along Microtubule,1.0,2.006452468290096
Pathway-Restricted SMAD Protein Phosphorylation,1.0,4.213550183409201
Peptide Biosynthetic Process,1.0,1.5579513283193684
Peptidyl-Lysine Acetylation,1.0,3.310646572678658
Peptidyl-Lysine Modification,1.0,1.5478347612523597
Peptidyl-Serine Modification,1.0,1.8314215082903218
Peptidyl-Serine Phosphorylation,1.0,1.8637714038783555
Peptidyl-Threonine Modification,1.0,2.5811820736138693
Peptidyl-Threonine Phosphorylation,1.0,2.7264148245588955
Pharyngeal System Development,1.0,2.8376970622959927
Phosphatidylinositol 3-Kinase Signaling,1.0,3.7079241614000975
Phosphatidylinositol Biosynthetic Process,1.0,1.7550415566007342
Phosphatidylinositol Dephosphorylation,1.0,2.6485172581429266
Phosphatidylinositol Phosphate Biosynthetic Process,1.0,2.7879129033083436
Phosphatidylinositol-3-Phosphate Biosynthetic Process,1.0,3.3106465726786585
Phosphatidylinositol-Mediated Signaling,1.0,2.4193186492651733
Phospholipid Dephosphorylation,1.0,2.3030584853416753
Phosphorylation,1.0,1.6507379032746772
Photoperiodism,1.0,2.015176174673966
Plasma Membrane Bounded Cell Projection Organization,1.0,1.5279907258516885
Positive Regulation Of Amide Metabolic Process,1.0,1.9422459893048125
Positive Regulation Of Amyloid Precursor Protein Catabolic Process,1.0,3.115902656638737
Positive Regulation Of Amyloid-Beta Formation,1.0,3.56531169365394
Positive Regulation Of Angiogenesis,1.0,2.2070977151191054
Positive Regulation Of Animal Organ Morphogenesis,1.0,5.297034516285853
Positive Regulation Of Apoptotic Process,1.0,2.0352335487778634
Positive Regulation Of Apoptotic Signaling Pathway,1.0,1.873950890195467
Positive Regulation Of Aspartic-Type Endopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process,1.0,4.414195430238211
Positive Regulation Of Aspartic-Type Peptidase Activity,1.0,3.7835960830613233
Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore,1.0,3.3106465726786585
Positive Regulation Of Autophagy,1.0,1.6367241482905723
Positive Regulation Of BMP Signaling Pathway,1.0,2.1067750917046006
Positive Regulation Of Binding,1.0,1.9706229599277727
Positive Regulation Of Biosynthetic Process,1.0,2.090934677481258
Positive Regulation Of Blood Vessel Endothelial Cell Migration,1.0,2.8632619006950555
Positive Regulation Of Canonical Wnt Signaling Pathway,1.0,1.5279907258516885
Positive Regulation Of Carbohydrate Metabolic Process,1.0,2.2832045328818333
Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition,1.0,4.729495103826655
Positive Regulation Of Cardiac Muscle Cell Differentiation,1.0,3.9727758872143903
Positive Regulation Of Cardiac Muscle Cell Proliferation,1.0,4.583972177555066
Positive Regulation Of Cardiac Muscle Hypertrophy,1.0,2.482984929508994
Positive Regulation Of Cardiac Muscle Tissue Growth,1.0,4.138308215848323
Positive Regulation Of Cardiocyte Differentiation,1.0,3.310646572678658
Positive Regulation Of Catabolic Process,1.0,2.006452468290096
Positive Regulation Of Cell Adhesion,1.0,1.6553232863393292
Positive Regulation Of Cell Cycle,1.0,1.8452784175585963
Positive Regulation Of Cell Cycle G2/M Phase Transition,1.0,3.6116144429221726
Positive Regulation Of Cell Cycle Process,1.0,1.3873185637891519
Positive Regulation Of Cell Differentiation,1.0,1.8107209826079191
Positive Regulation Of Cell Growth,1.0,1.9645595046664566
Positive Regulation Of Cell Migration,1.0,1.8639774820963877
Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis,1.0,2.6485172581429266
Positive Regulation Of Cell Motility,1.0,1.896724598930481
Positive Regulation Of Cell Population Proliferation,1.0,1.6851105948338672
Positive Regulation Of Cellular Biosynthetic Process,1.0,2.0077469537535086
Positive Regulation Of Cellular Catabolic Process,1.0,1.7341482047364403
Positive Regulation Of Cellular Component Biogenesis,1.0,1.5954923241824859
Positive Regulation Of Cellular Component Organization,1.0,1.6727477419850063
Positive Regulation Of Cellular Metabolic Process,1.0,2.257259026826358
Positive Regulation Of Cellular Process,1.0,1.5725571220223626
Positive Regulation Of Chemokine Production,1.0,2.422424321472189
Positive Regulation Of Cold-Induced Thermogenesis,1.0,1.8348161728098586
Positive Regulation Of Cyclin-Dependent Protein Kinase Activity,1.0,3.0899368011667474
Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity,1.0,3.3106465726786585
Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,1.0,2.0001823043266893
Positive Regulation Of Cytokine Production,1.0,1.5449684005833737
Positive Regulation Of Cytoplasmic Translation,1.0,4.074641935604502
Positive Regulation Of DNA Biosynthetic Process,1.0,1.7367326282904434
Positive Regulation Of DNA Repair,1.0,1.6128790995101154
Positive Regulation Of DNA Replication,1.0,2.482984929508994
Positive Regulation Of DNA-binding Transcription Factor Activity,1.0,1.4503784985068406
Positive Regulation Of DNA-templated Transcription,1.0,1.5623275960955467
"Positive Regulation Of DNA-templated Transcription, Elongation",1.0,1.8539620807000488
Positive Regulation Of Defense Response,1.0,1.9343103570706766
Positive Regulation Of Dephosphorylation,1.0,2.037320967802251
Positive Regulation Of Developmental Process,1.0,1.4494373054513527
Positive Regulation Of Endopeptidase Activity,1.0,2.4077429619481148
Positive Regulation Of Endoplasmic Reticulum Unfolded Protein Response,1.0,3.0096787024351435
Positive Regulation Of Endothelial Cell Migration,1.0,2.3314412483652522
Positive Regulation Of Endothelial Cell Proliferation,1.0,1.681598259138366
Positive Regulation Of Epithelial Cell Migration,1.0,2.130990897356378
Positive Regulation Of Epithelial Cell Proliferation,1.0,1.621541178454853
Positive Regulation Of Epithelial To Mesenchymal Transition,1.0,2.859194767313386
Positive Regulation Of Epithelial Tube Formation,1.0,4.414195430238211
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway,1.0,2.291986088777533
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors,1.0,5.297034516285853
Positive Regulation Of Fat Cell Differentiation,1.0,1.9562911565828434
Positive Regulation Of Fibroblast Migration,1.0,4.729495103826655
Positive Regulation Of Fibroblast Proliferation,1.0,2.482984929508994
Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle,1.0,3.8333802420489724
Positive Regulation Of Gene Expression,1.0,1.663900090931761
Positive Regulation Of Glial Cell Differentiation,1.0,3.0899368011667474
Positive Regulation Of Glucose Metabolic Process,1.0,2.6485172581429266
Positive Regulation Of Growth,1.0,1.9061298448755912
Positive Regulation Of Histone Acetylation,1.0,3.055981451703377
Positive Regulation Of Homotypic Cell-Cell Adhesion,1.0,3.6116144429221726
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling,1.0,1.4713984767460704
Positive Regulation Of Inflammatory Response,1.0,2.090934677481258
