Term,Asymptomatic,Symptomatic
Aerobic Electron Transport Chain (GO:0019646),4.0,1.0
Aerobic Respiration (GO:0009060),4.0,1.0
Aggrephagy (GO:0035973),4.0,4.0
Alanine Transport (GO:0032328),,1.0
Aldehyde Catabolic Process (GO:0046185),1.0,1.0
Alpha-Amino Acid Catabolic Process (GO:1901606),4.0,1.0
Alpha-Amino Acid Metabolic Process (GO:1901605),1.0,1.0
"Alternative mRNA Splicing, Via Spliceosome (GO:0000380)",3.0,2.0
Ameboidal-Type Cell Migration (GO:0001667),1.0,3.0
Amide Biosynthetic Process (GO:0043604),5.0,2.0
Amide Transport (GO:0042886),4.0,5.0
Amine Metabolic Process (GO:0009308),2.0,2.0
Amine Transport (GO:0015837),4.0,1.0
Amino Acid Catabolic Process (GO:0009063),5.0,2.0
Amino Acid Import Across Plasma Membrane (GO:0089718),5.0,4.0
Amino Acid Transmembrane Transport (GO:0003333),5.0,4.0
Amino Acid Transport (GO:0006865),5.0,4.0
Amino-Acid Betaine Metabolic Process (GO:0006577),2.0,1.0
Aminoglycan Biosynthetic Process (GO:0006023),2.0,
Aminoglycan Catabolic Process (GO:0006026),1.0,
Aminophospholipid Transport (GO:0015917),2.0,
Ammonium Homeostasis (GO:0097272),4.0,1.0
Ammonium Transmembrane Transport (GO:0072488),5.0,2.0
Amyloid Fibril Formation (GO:1990000),3.0,5.0
Amyloid Precursor Protein Catabolic Process (GO:0042987),3.0,3.0
Amyloid Precursor Protein Metabolic Process (GO:0042982),2.0,2.0
Amyloid-Beta Formation (GO:0034205),,1.0
Amyloid-Beta Metabolic Process (GO:0050435),2.0,2.0
Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),4.0,5.0
Androgen Receptor Signaling Pathway (GO:0030521),2.0,2.0
Angiogenesis Involved In Wound Healing (GO:0060055),,2.0
Anoikis (GO:0043276),4.0,4.0
Anterior/Posterior Pattern Specification (GO:0009952),5.0,6.0
Anterograde Axonal Protein Transport (GO:0099641),4.0,4.0
Anterograde Axonal Transport (GO:0008089),4.0,7.0
Anterograde Dendritic Transport (GO:0098937),3.0,4.0
Anterograde Synaptic Vesicle Transport (GO:0048490),2.0,4.0
Anterograde Trans-Synaptic Signaling (GO:0098916),3.0,1.0
Antibacterial Humoral Response (GO:0019731),1.0,
Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483),4.0,2.0
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I (GO:0019885),3.0,3.0
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484),3.0,2.0
"Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)",3.0,2.0
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476),3.0,2.0
Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),,1.0
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),,1.0
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474),4.0,4.0
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),,1.0
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428),3.0,2.0
Antigen Receptor-Mediated Signaling Pathway (GO:0050851),1.0,4.0
Antimicrobial Humoral Response (GO:0019730),,1.0
Antiviral Innate Immune Response (GO:0140374),5.0,4.0
Aorta Development (GO:0035904),1.0,
Aortic Valve Development (GO:0003176),5.0,5.0
Aortic Valve Morphogenesis (GO:0003180),5.0,5.0
Apical Junction Assembly (GO:0043297),4.0,2.0
Apoptotic Cell Clearance (GO:0043277),,4.0
Apoptotic DNA Fragmentation (GO:0006309),4.0,1.0
Apoptotic Mitochondrial Changes (GO:0008637),5.0,6.0
Apoptotic Process (GO:0006915),4.0,7.0
Arachidonic Acid Metabolic Process (GO:0019369),2.0,2.0
Aromatic Amino Acid Transport (GO:0015801),,1.0
Arp2/3 Complex-Mediated Actin Nucleation (GO:0034314),3.0,3.0
Artery Development (GO:0060840),1.0,
Artery Morphogenesis (GO:0048844),1.0,
Aspartate Family Amino Acid Biosynthetic Process (GO:0009067),,1.0
Aspartate Metabolic Process (GO:0006531),,1.0
Aspartate Transmembrane Transport (GO:0015810),3.0,
Astral Microtubule Organization (GO:0030953),2.0,2.0
Astrocyte Activation (GO:0048143),1.0,1.0
Astrocyte Development (GO:0014002),1.0,1.0
Atrial Cardiac Muscle Cell To AV Node Cell Signaling (GO:0086026),2.0,2.0
Atrial Septum Morphogenesis (GO:0060413),2.0,2.0
Atrioventricular Valve Formation (GO:0003190),3.0,3.0
Atrioventricular Valve Morphogenesis (GO:0003181),4.0,4.0
Attachment Of GPI Anchor To Protein (GO:0016255),4.0,3.0
Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315),4.0,6.0
Autophagosome Assembly (GO:0000045),6.0,8.0
Autophagosome Maturation (GO:0097352),6.0,8.0
Autophagosome Membrane Docking (GO:0016240),4.0,4.0
Autophagosome Organization (GO:1905037),6.0,8.0
Autophagosome-Lysosome Fusion (GO:0061909),1.0,2.0
Autophagy Of Mitochondrion (GO:0000422),4.0,5.0
Autophagy Of Nucleus (GO:0044804),4.0,4.0
Axo-Dendritic Protein Transport (GO:0099640),4.0,4.0
Axo-Dendritic Transport (GO:0008088),5.0,5.0
Axon Development (GO:0061564),5.0,6.0
Axon Extension (GO:0048675),6.0,4.0
Axon Guidance (GO:0007411),2.0,3.0
Axonal Fasciculation (GO:0007413),,1.0
Axonal Transport (GO:0098930),7.0,9.0
Axonal Transport Of Mitochondrion (GO:0019896),2.0,2.0
Axonogenesis (GO:0007409),4.0,4.0
B Cell Activation (GO:0042113),1.0,4.0
B Cell Activation Involved In Immune Response (GO:0002312),2.0,2.0
B Cell Differentiation (GO:0030183),2.0,5.0
B Cell Homeostasis (GO:0001782),1.0,1.0
B Cell Mediated Immunity (GO:0019724),1.0,3.0
B Cell Proliferation (GO:0042100),,1.0
B Cell Receptor Signaling Pathway (GO:0050853),1.0,3.0
BMP Signaling Pathway (GO:0030509),1.0,
Barbed-End Actin Filament Capping (GO:0051016),2.0,4.0
Base Conversion Or Substitution Editing (GO:0016553),2.0,1.0
Base-Excision Repair (GO:0006284),5.0,5.0
"Base-Excision Repair, AP Site Formation (GO:0006285)",5.0,5.0
"Base-Excision Repair, Gap-Filling (GO:0006287)",10.0,10.0
Basic Amino Acid Transmembrane Transport (GO:1990822),2.0,1.0
Basic Amino Acid Transport (GO:0015802),3.0,1.0
Bicellular Tight Junction Assembly (GO:0070830),4.0,1.0
Bile Acid And Bile Salt Transport (GO:0015721),1.0,
Bile Acid Biosynthetic Process (GO:0006699),2.0,3.0
Bile Acid Metabolic Process (GO:0008206),3.0,3.0
Bleb Assembly (GO:0032060),2.0,1.0
"Blood Coagulation, Fibrin Clot Formation (GO:0072378)",1.0,1.0
"Blood Coagulation, Intrinsic Pathway (GO:0007597)",2.0,2.0
Blood Vessel Endothelial Cell Migration (GO:0043534),,3.0
Blood Vessel Morphogenesis (GO:0048514),1.0,2.0
Bone Development (GO:0060348),,2.0
Bone Resorption (GO:0045453),,2.0
Box C/D snoRNP Assembly (GO:0000492),5.0,6.0
Brain Development (GO:0007420),6.0,5.0
Branched-Chain Amino Acid Catabolic Process (GO:0009083),4.0,1.0
Branched-Chain Amino Acid Metabolic Process (GO:0009081),5.0,2.0
Branched-Chain Amino Acid Transport (GO:0015803),3.0,2.0
Branching Involved In Ureteric Bud Morphogenesis (GO:0001658),5.0,5.0
Branching Morphogenesis Of An Epithelial Tube (GO:0048754),3.0,4.0
Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069),5.0,4.0
Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073),5.0,4.0
C-terminal Protein Amino Acid Modification (GO:0018410),3.0,4.0
C-terminal Protein Lipidation (GO:0006501),3.0,4.0
C4-dicarboxylate Transport (GO:0015740),4.0,1.0
CENP-A Containing Chromatin Assembly (GO:0034080),5.0,5.0
COPI Coating Of Golgi Vesicle (GO:0048205),2.0,3.0
COPI-coated Vesicle Budding (GO:0035964),2.0,3.0
COPII Vesicle Coating (GO:0048208),4.0,3.0
COPII-coated Vesicle Budding (GO:0090114),4.0,4.0
COPII-coated Vesicle Cargo Loading (GO:0090110),4.0,4.0
CRD-mediated mRNA Stabilization (GO:0070934),5.0,1.0
Calcineurin-Mediated Signaling (GO:0097720),3.0,3.0
Calcium Import Into The Mitochondrion (GO:0036444),4.0,1.0
Calcium Ion Homeostasis (GO:0055074),2.0,3.0
Calcium Ion Import Across Plasma Membrane (GO:0098703),1.0,
Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),1.0,1.0
Calcium Ion Transmembrane Transport (GO:0070588),7.0,4.0
Calcium Ion Transport (GO:0006816),5.0,4.0
Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),1.0,1.0
Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339),1.0,
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),4.0,1.0
Calcium-Mediated Signaling (GO:0019722),3.0,3.0
Calcium-Mediated Signaling Using Intracellular Calcium Source (GO:0035584),,1.0
Camera-Type Eye Morphogenesis (GO:0048593),1.0,1.0
Canonical Wnt Signaling Pathway (GO:0060070),4.0,3.0
Cap-Dependent Translational Initiation (GO:0002191),3.0,2.0
Carbohydrate Catabolic Process (GO:0016052),3.0,3.0
Carbohydrate Derivative Catabolic Process (GO:1901136),1.0,1.0
Carbon Dioxide Transport (GO:0015670),,1.0
Carboxylic Acid Biosynthetic Process (GO:0046394),,2.0
Carboxylic Acid Metabolic Process (GO:0019752),1.0,
Carboxylic Acid Transmembrane Transport (GO:1905039),6.0,5.0
Carboxylic Acid Transport (GO:0046942),7.0,5.0
Cardiac Atrium Morphogenesis (GO:0003209),3.0,3.0
Cardiac Cell Development (GO:0055006),1.0,1.0
Cardiac Conduction (GO:0061337),3.0,3.0
Cardiac Conduction System Development (GO:0003161),3.0,3.0
Cardiac Epithelial To Mesenchymal Transition (GO:0060317),2.0,2.0
Cardiac Left Ventricle Morphogenesis (GO:0003214),2.0,2.0
Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002),3.0,3.0
Cardiac Muscle Cell Development (GO:0055013),1.0,3.0
Cardiac Muscle Cell Myoblast Differentiation (GO:0060379),3.0,3.0
Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042),5.0,5.0
Cardiac Muscle Contraction (GO:0060048),4.0,4.0
Cardiac Muscle Tissue Development (GO:0048738),3.0,3.0
Cardiac Muscle Tissue Morphogenesis (GO:0055008),2.0,2.0
Cardiac Myofibril Assembly (GO:0055003),1.0,2.0
Cardiac Pacemaker Cell Development (GO:0060926),4.0,4.0
Cardiac Right Ventricle Morphogenesis (GO:0003215),4.0,4.0
Cardiac Ventricle Development (GO:0003231),4.0,4.0
Cardiac Ventricle Morphogenesis (GO:0003208),1.0,1.0
Cardioblast Differentiation (GO:0010002),4.0,4.0
Cardiocyte Differentiation (GO:0035051),1.0,1.0
Cardiolipin Metabolic Process (GO:0032048),4.0,1.0
Carnitine Metabolic Process (GO:0009437),4.0,1.0
Cartilage Development (GO:0051216),1.0,1.0
Catecholamine Transport (GO:0051937),1.0,
Cdc42 Protein Signal Transduction (GO:0032488),1.0,3.0
Cell Chemotaxis (GO:0060326),1.0,3.0
Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064),2.0,1.0
Cell Cycle G1/S Phase Transition (GO:0044843),7.0,7.0
Cell Cycle G2/M Phase Transition (GO:0044839),8.0,9.0
Cell Differentiation In Spinal Cord (GO:0021515),1.0,
Cell Differentiation Involved In Metanephros Development (GO:0072202),2.0,2.0
Cell Junction Assembly (GO:0034329),4.0,5.0
Cell Junction Organization (GO:0034330),4.0,6.0
Cell Migration Involved In Heart Development (GO:0060973),1.0,1.0
Cell Migration Involved In Sprouting Angiogenesis (GO:0002042),,2.0
Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),5.0,5.0
Cell Projection Assembly (GO:0030031),,2.0
Cell Projection Organization (GO:0030030),1.0,3.0
Cell Proliferation In Forebrain (GO:0021846),2.0,2.0
Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752),1.0,2.0
Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),1.0,3.0
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),1.0,2.0
Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),5.0,3.0
Cell-Cell Junction Assembly (GO:0007043),6.0,8.0
Cell-Cell Junction Maintenance (GO:0045217),1.0,3.0
Cell-Cell Junction Organization (GO:0045216),3.0,5.0
Cell-Cell Signaling By Wnt (GO:0198738),1.0,2.0
Cell-Matrix Adhesion (GO:0007160),2.0,5.0
Cell-Substrate Junction Assembly (GO:0007044),1.0,3.0
Cellular Component Assembly (GO:0022607),6.0,8.0
Cellular Component Disassembly (GO:0022411),,1.0
Cellular Component Maintenance (GO:0043954),,2.0
Cellular Defense Response (GO:0006968),2.0,3.0
Cellular Heat Acclimation (GO:0070370),2.0,3.0
Cellular Modified Amino Acid Biosynthetic Process (GO:0042398),2.0,1.0
Cellular Nitrogen Compound Biosynthetic Process (GO:0044271),3.0,1.0
Cellular Respiration (GO:0045333),4.0,1.0
Cellular Response To Acetylcholine (GO:1905145),2.0,
Cellular Response To Acid Chemical (GO:0071229),2.0,2.0
Cellular Response To Alcohol (GO:0097306),3.0,3.0
Cellular Response To Alkaloid (GO:0071312),4.0,5.0
Cellular Response To Amino Acid Starvation (GO:0034198),3.0,4.0
Cellular Response To Amino Acid Stimulus (GO:0071230),2.0,3.0
Cellular Response To Amyloid-Beta (GO:1904646),2.0,3.0
Cellular Response To Angiotensin (GO:1904385),1.0,1.0
Cellular Response To Arsenic-Containing Substance (GO:0071243),5.0,5.0
Cellular Response To BMP Stimulus (GO:0071773),1.0,
Cellular Response To Bacterial Lipopeptide (GO:0071221),,1.0
Cellular Response To Cadmium Ion (GO:0071276),1.0,3.0
Cellular Response To Caffeine (GO:0071313),,1.0
Cellular Response To Calcium Ion (GO:0071277),,1.0
Cellular Response To Catecholamine Stimulus (GO:0071870),2.0,2.0
Cellular Response To Chemical Stress (GO:0062197),5.0,5.0
Cellular Response To Cholesterol (GO:0071397),,1.0
Cellular Response To Corticosteroid Stimulus (GO:0071384),,1.0
Cellular Response To Cytokine Stimulus (GO:0071345),3.0,6.0
Cellular Response To Decreased Oxygen Levels (GO:0036294),7.0,8.0
Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364),1.0,3.0
Cellular Response To Epinephrine Stimulus (GO:0071872),2.0,2.0
Cellular Response To Estradiol Stimulus (GO:0071392),4.0,6.0
Cellular Response To Estrogen Stimulus (GO:0071391),4.0,5.0
Cellular Response To Exogenous dsRNA (GO:0071360),,1.0
Cellular Response To Fatty Acid (GO:0071398),1.0,
Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344),2.0,7.0
Cellular Response To Fluid Shear Stress (GO:0071498),5.0,5.0
Cellular Response To Forskolin (GO:1904322),2.0,1.0
Cellular Response To Gamma Radiation (GO:0071480),3.0,3.0
Cellular Response To Glucocorticoid Stimulus (GO:0071385),,1.0
Cellular Response To Glucose Starvation (GO:0042149),4.0,5.0
Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus (GO:0097011),,1.0
Cellular Response To Growth Factor Stimulus (GO:0071363),5.0,7.0
Cellular Response To Growth Hormone Stimulus (GO:0071378),1.0,3.0
Cellular Response To Heat (GO:0034605),6.0,5.0
Cellular Response To Histamine (GO:0071420),1.0,
Cellular Response To Hormone Stimulus (GO:0032870),4.0,5.0
Cellular Response To Hydrogen Peroxide (GO:0070301),4.0,5.0
Cellular Response To Hydroxyurea (GO:0072711),5.0,5.0
Cellular Response To Hypoxia (GO:0071456),7.0,8.0
Cellular Response To Increased Oxygen Levels (GO:0036295),4.0,4.0
Cellular Response To Inorganic Substance (GO:0071241),5.0,5.0
Cellular Response To Insulin Stimulus (GO:0032869),2.0,7.0
Cellular Response To Interleukin-1 (GO:0071347),4.0,5.0
Cellular Response To Interleukin-12 (GO:0071349),1.0,3.0
Cellular Response To Interleukin-15 (GO:0071350),1.0,3.0
Cellular Response To Interleukin-2 (GO:0071352),1.0,3.0
Cellular Response To Interleukin-4 (GO:0071353),,2.0
Cellular Response To Interleukin-6 (GO:0071354),2.0,4.0
Cellular Response To Interleukin-9 (GO:0071355),1.0,3.0
Cellular Response To Ionizing Radiation (GO:0071479),5.0,5.0
Cellular Response To Ketone (GO:1901655),2.0,1.0
Cellular Response To Laminar Fluid Shear Stress (GO:0071499),5.0,5.0
Cellular Response To Lectin (GO:1990858),1.0,3.0
Cellular Response To Leucine (GO:0071233),5.0,5.0
Cellular Response To Leucine Starvation (GO:1990253),1.0,1.0
Cellular Response To Light Stimulus (GO:0071482),6.0,6.0
Cellular Response To Lipid (GO:0071396),6.0,10.0
Cellular Response To Lipopolysaccharide (GO:0071222),4.0,7.0
Cellular Response To Lipoteichoic Acid (GO:0071223),1.0,3.0
Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),,2.0
Cellular Response To Mechanical Stimulus (GO:0071260),5.0,7.0
Cellular Response To Metal Ion (GO:0071248),2.0,1.0
Cellular Response To Misfolded Protein (GO:0071218),7.0,8.0
Cellular Response To Molecule Of Bacterial Origin (GO:0071219),4.0,7.0
Cellular Response To Muramyl Dipeptide (GO:0071225),4.0,5.0
Cellular Response To Nerve Growth Factor Stimulus (GO:1990090),1.0,3.0
Cellular Response To Nitrogen Compound (GO:1901699),5.0,5.0
Cellular Response To Nitrogen Levels (GO:0043562),4.0,4.0
Cellular Response To Nitrogen Starvation (GO:0006995),4.0,4.0
Cellular Response To Nutrient Levels (GO:0031669),4.0,5.0
Cellular Response To Organic Cyclic Compound (GO:0071407),5.0,6.0
Cellular Response To Organic Substance (GO:0071310),,2.0
Cellular Response To Organonitrogen Compound (GO:0071417),4.0,5.0
Cellular Response To Osmotic Stress (GO:0071470),4.0,5.0
Cellular Response To Oxidative Stress (GO:0034599),9.0,7.0
Cellular Response To Oxygen Levels (GO:0071453),4.0,4.0
Cellular Response To Oxygen-Containing Compound (GO:1901701),7.0,10.0
Cellular Response To Peptide (GO:1901653),4.0,7.0
Cellular Response To Peptide Hormone Stimulus (GO:0071375),3.0,6.0
Cellular Response To Platelet-Derived Growth Factor Stimulus (GO:0036120),,2.0
Cellular Response To Radiation (GO:0071478),5.0,5.0
Cellular Response To Reactive Oxygen Species (GO:0034614),4.0,7.0
Cellular Response To Retinoic Acid (GO:0071300),3.0,3.0
Cellular Response To Salt (GO:1902075),2.0,2.0
Cellular Response To Starvation (GO:0009267),4.0,5.0
Cellular Response To Sterol (GO:0036315),,1.0
Cellular Response To Thyroid Hormone Stimulus (GO:0097067),3.0,4.0
Cellular Response To Topologically Incorrect Protein (GO:0035967),4.0,5.0
Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),5.0,4.0
Cellular Response To Tumor Necrosis Factor (GO:0071356),4.0,5.0
Cellular Response To Type I Interferon (GO:0071357),3.0,5.0
Cellular Response To Type II Interferon (GO:0071346),,1.0
Cellular Response To UV (GO:0034644),6.0,7.0
Cellular Response To UV-A (GO:0071492),,1.0
Cellular Response To Unfolded Protein (GO:0034620),4.0,5.0
Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:0035924),1.0,3.0
Cellular Response To Virus (GO:0098586),,1.0
Cellular Response To Xenobiotic Stimulus (GO:0071466),,1.0
Cellular Response To dsRNA (GO:0071359),4.0,1.0
Cellular Response To pH (GO:0071467),,1.0
Central Nervous System Development (GO:0007417),6.0,6.0
Central Nervous System Neuron Axonogenesis (GO:0021955),2.0,1.0
Central Nervous System Neuron Development (GO:0021954),3.0,3.0
Central Nervous System Neuron Differentiation (GO:0021953),1.0,
Centromere Complex Assembly (GO:0034508),5.0,5.0
Centromeric Sister Chromatid Cohesion (GO:0070601),5.0,5.0
Ceramide Biosynthetic Process (GO:0046513),6.0,2.0
Ceramide Metabolic Process (GO:0006672),6.0,2.0
Ceramide Transport (GO:0035627),,1.0
Chaperone Cofactor-Dependent Protein Refolding (GO:0051085),4.0,5.0
Chaperone-Mediated Protein Complex Assembly (GO:0051131),6.0,6.0
Chemical Synaptic Transmission (GO:0007268),4.0,2.0
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",1.0,
Chemokine (C-X-C Motif) Ligand 12 Signaling Pathway (GO:0038146),2.0,2.0
Chloride Ion Homeostasis (GO:0055064),4.0,3.0
Chloride Transmembrane Transport (GO:1902476),3.0,1.0
Chloride Transport (GO:0006821),3.0,1.0
Cholesterol Biosynthetic Process (GO:0006695),4.0,4.0
Cholesterol Efflux (GO:0033344),1.0,2.0
Cholesterol Homeostasis (GO:0042632),1.0,2.0
Cholesterol Metabolic Process (GO:0008203),4.0,6.0
Cholesterol Transport (GO:0030301),4.0,6.0
Chondrocyte Differentiation (GO:0002062),,1.0
Chromatin Organization (GO:0006325),8.0,9.0
Chromatin Remodeling (GO:0006338),7.0,8.0
Chromatin Remodeling At Centromere (GO:0031055),5.0,5.0
Chromosome Condensation (GO:0030261),11.0,7.0
Chromosome Organization (GO:0051276),10.0,6.0
Cilium Assembly (GO:0060271),2.0,5.0
Cilium Organization (GO:0044782),2.0,5.0
Circulatory System Development (GO:0072359),9.0,9.0
Clathrin Coat Assembly (GO:0048268),2.0,4.0
Clathrin Coat Disassembly (GO:0072318),2.0,4.0
Clathrin-Dependent Endocytosis (GO:0072583),10.0,11.0
Cleavage Furrow Formation (GO:0036089),1.0,4.0
Coenzyme A Biosynthetic Process (GO:0015937),2.0,2.0
Collagen Fibril Organization (GO:0030199),1.0,2.0
Collagen-Activated Signaling Pathway (GO:0038065),,2.0
Columnar/Cuboidal Epithelial Cell Differentiation (GO:0002065),2.0,2.0
Commissural Neuron Axon Guidance (GO:0071679),,2.0
"Complement Activation, Lectin Pathway (GO:0001867)",1.0,2.0
Complement Receptor Mediated Signaling Pathway (GO:0002430),,1.0
Connective Tissue Development (GO:0061448),1.0,
Constitutive Heterochromatin Formation (GO:0140719),5.0,5.0
Contractile Actin Filament Bundle Assembly (GO:0030038),3.0,5.0
Copper Ion Homeostasis (GO:0055070),2.0,1.0
Coronary Vasculature Morphogenesis (GO:0060977),1.0,1.0
Cortical Actin Cytoskeleton Organization (GO:0030866),3.0,5.0
Cortical Cytoskeleton Organization (GO:0030865),3.0,5.0
Cotranslational Protein Targeting To Membrane (GO:0006613),6.0,2.0
Coumarin Metabolic Process (GO:0009804),,1.0
Cranial Nerve Development (GO:0021545),5.0,5.0
Cristae Formation (GO:0042407),4.0,1.0
Cyclic Nucleotide Transport (GO:0070729),4.0,3.0
Cyclic-Nucleotide-Mediated Signaling (GO:0019935),2.0,1.0
Cytochrome Complex Assembly (GO:0017004),4.0,1.0
Cytokine-Mediated Signaling Pathway (GO:0019221),4.0,7.0
Cytolysis By Host Of Symbiont Cells (GO:0051838),,2.0
Cytoplasmic Microtubule Organization (GO:0031122),7.0,10.0
Cytoplasmic Sequestering Of NF-kappaB (GO:0007253),4.0,5.0
Cytoplasmic Sequestering Of Protein (GO:0051220),6.0,6.0
Cytoplasmic Sequestering Of Transcription Factor (GO:0042994),4.0,5.0
Cytoplasmic Translation (GO:0002181),14.0,12.0
Cytoplasmic Translational Initiation (GO:0002183),10.0,9.0
Cytoskeleton Organization (GO:0007010),7.0,10.0
Cytoskeleton-Dependent Cytokinesis (GO:0061640),6.0,10.0
Cytoskeleton-Dependent Intracellular Transport (GO:0030705),7.0,10.0
Cytosolic Pattern Recognition Receptor Signaling Pathway (GO:0002753),4.0,5.0
Cytosolic Transport (GO:0016482),5.0,5.0
DNA Alkylation (GO:0006305),5.0,5.0
DNA Biosynthetic Process (GO:0071897),3.0,3.0
DNA Conformation Change (GO:0071103),4.0,2.0
DNA Damage Checkpoint Signaling (GO:0000077),5.0,5.0
DNA Damage Response (GO:0006974),13.0,16.0
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",7.0,7.0
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",3.0,3.0
