,Term,Adjusted P-value,Fold_Enrichment,cohort
117,Arrhythmogenic right ventricular cardiomyopathy,0.0001916424044761504,2.135901014631392,Symptomatic
118,Axon guidance,0.00023362876515325328,1.4713984767460704,Symptomatic
119,Th1 and Th2 cell differentiation,0.0003208206497497464,1.8917980415306617,Symptomatic
120,GnRH signaling pathway,0.0003768224255433659,1.820855614973262,Symptomatic
121,Basal cell carcinoma,0.0003804694371324145,1.8452784175585963,Symptomatic
122,Leukocyte transendothelial migration,0.0004946302518236864,1.8810491890219647,Symptomatic
123,Protein processing in endoplasmic reticulum,0.0006952939832900645,1.400658165364048,Symptomatic
124,Regulation of lipolysis in adipocytes,0.0007882935074068374,2.309753422799064,Symptomatic
125,Tuberculosis,0.0008463914956796613,1.6195968844758903,Symptomatic
126,Rheumatoid arthritis,0.0009876248311007658,1.958410648626812,Symptomatic
127,"Parathyroid hormone synthesis, secretion and action",0.0009876248311007658,1.655323286339329,Symptomatic
128,Melanogenesis,0.0012247895373435,1.6938191767193134,Symptomatic
129,Leishmaniasis,0.0015808141866745,1.953824206826749,Symptomatic
130,Fc gamma R-mediated phagocytosis,0.0017408022527854,1.6553232863393292,Symptomatic
131,Platelet activation,0.0017588977592721,1.655323286339329,Symptomatic
132,NF-kappa B signaling pathway,0.0018078062526251,1.674349990780011,Symptomatic
133,Dopaminergic synapse,0.0019802237293988,1.6089123530774787,Symptomatic
134,Phospholipase D signaling pathway,0.0024528022919789,1.4713984767460704,Symptomatic
135,Vasopressin-regulated water reabsorption,0.0028136413217571,2.2701576498367944,Symptomatic
136,Malaria,0.0028839376619249,2.4593374539898605,Symptomatic
137,Gap junction,0.0029906942866085,1.67739426349052,Symptomatic
138,Ribosome,0.0032054415242688,1.561117896059855,Symptomatic
139,Basal transcription factors,0.003383285444983,2.090934677481258,Symptomatic
140,Natural killer cell mediated cytotoxicity,0.003727146529584,1.8392480959325876,Symptomatic
141,Hypertrophic cardiomyopathy,0.0038398533903488,1.823254634228826,Symptomatic
142,Phosphatidylinositol signaling system,0.0039557700129923,1.5579513283193687,Symptomatic
143,Inflammatory mediator regulation of TRP channels,0.0044679638278311,1.6553232863393292,Symptomatic
144,Notch signaling pathway,0.0046600316764638,1.9312105007292173,Symptomatic
145,cGMP-PKG signaling pathway,0.007174755927299,1.5361400097228974,Symptomatic
146,Hedgehog signaling pathway,0.0079398895951581,1.8314215082903216,Symptomatic
147,Pyrimidine metabolism,0.0079398895951581,2.0017862997591886,Symptomatic
148,Amphetamine addiction,0.007964664004497,1.9099884073146105,Symptomatic
149,Pertussis,0.008319725238489,1.7087208117051138,Symptomatic
150,Cholinergic synapse,0.0107696654860603,1.6358488947353371,Symptomatic
151,Dilated cardiomyopathy,0.0172834544004149,1.6326476248826263,Symptomatic
152,RNA transport,0.0173987402994751,1.3421540159508074,Symptomatic
153,RIG-I-like receptor signaling pathway,0.0216668545274952,1.8176098830392635,Symptomatic
154,African trypanosomiasis,0.0216668545274952,2.0548840795936503,Symptomatic
155,Aldosterone-regulated sodium reabsorption,0.0216668545274952,1.986387943607195,Symptomatic
156,Vibrio cholerae infection,0.0222482077005675,1.7341482047364398,Symptomatic
157,GnRH secretion,0.0237894844762987,1.687780605679316,Symptomatic
158,Phagosome,0.0237894844762987,1.4648878640171052,Symptomatic
159,Long-term depression,0.0339712106676957,1.621541178454853,Symptomatic
160,Long-term potentiation,0.0339712106676957,1.4110952604859854,Symptomatic
161,Carbohydrate digestion and absorption,0.036541131243731,2.2070977151191054,Symptomatic
162,Nucleotide excision repair,0.036541131243731,1.5764983679422182,Symptomatic
163,Fanconi anemia pathway,0.0373733476734704,1.7764445024129383,Symptomatic
164,Ferroptosis,0.0397647188965509,1.6105848191409688,Symptomatic
165,Graft-versus-host disease,0.0458545144052891,2.291986088777533,Symptomatic
166,Oxytocin signaling pathway,0.0470082321658123,1.2919596381185008,Symptomatic
