Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Positive Regulation Of Notch Signaling Pathway (GO:0045747),2/33,0.029549095029341,0.3453327837515789,0,0,7.936686034862753,27.950644357484684,YAP1;IL6ST,GO_Biological_Process_2023
Vasculogenesis (GO:0001570),2/33,0.029549095029341,0.3453327837515789,0,0,7.936686034862753,27.950644357484684,SPRED1;ITGB8,GO_Biological_Process_2023
Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281),2/33,0.029549095029341,0.3453327837515789,0,0,7.936686034862753,27.950644357484684,PLCG1;CALM2,GO_Biological_Process_2023
Positive Regulation Of Telomerase Activity (GO:0051973),2/33,0.029549095029341,0.3453327837515789,0,0,7.936686034862753,27.950644357484684,HMBOX1;HSP90AA1,GO_Biological_Process_2023
Positive Regulation Of Protein Kinase Activity (GO:0045860),4/145,0.0310275579282688,0.3453327837515789,0,0,3.5141620946518577,12.20426151212615,MAP2K1;GRM5;HSP90AA1;CALM2,GO_Biological_Process_2023
Organophosphate Biosynthetic Process (GO:0090407),2/34,0.0312308036011908,0.3453327837515789,0,0,7.688276397515528,26.65025978371711,MOCS2;IPMK,GO_Biological_Process_2023
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),8/452,0.0321606956334232,0.3453327837515789,0,0,2.254344667247893,7.748205625819999,ZNF395;BTG1;RYBP;SPIN4;ZNF724;NR2C2;BACH1;ACVR2B,GO_Biological_Process_2023
Regulation Of Osteoblast Differentiation (GO:0045667),3/85,0.0322906683837141,0.3453327837515789,0,0,4.517149390243903,15.507269939791536,YAP1;IL6ST;ACVR2B,GO_Biological_Process_2023
Calcium-Mediated Signaling (GO:0019722),3/85,0.0322906683837141,0.3453327837515789,0,0,4.517149390243903,15.507269939791536,GRM5;ANK2;PLCG1,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Contraction (GO:0055117),2/35,0.0329495014984655,0.3453327837515789,0,0,7.454921889704498,25.4420019690239,ANK2;CALM2,GO_Biological_Process_2023
Negative Regulation Of Organelle Assembly (GO:1902116),2/36,0.0347044821155717,0.3453327837515789,0,0,7.235294117647059,24.317001837136853,YAP1;TRIM37,GO_Biological_Process_2023
Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),2/36,0.0347044821155717,0.3453327837515789,0,0,7.235294117647059,24.317001837136853,SPRED1;CALM2,GO_Biological_Process_2023
Regulation Of Cellular Component Biogenesis (GO:0044087),2/37,0.0364950477839384,0.3453327837515789,0,0,7.028216503992901,23.267463890498696,HSP90AA1;BBS10,GO_Biological_Process_2023
Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),2/38,0.0383205096638641,0.3453327837515789,0,0,6.83264320220842,22.286510793694696,YAP1;TNIP2,GO_Biological_Process_2023
G2/M Transition Of Mitotic Cell Cycle (GO:0000086),2/38,0.0383205096638641,0.3453327837515789,0,0,6.83264320220842,22.286510793694696,CCNB1;BACH1,GO_Biological_Process_2023
Positive Regulation Of Cation Channel Activity (GO:2001259),2/38,0.0383205096638641,0.3453327837515789,0,0,6.83264320220842,22.286510793694696,ANK2;CALM2,GO_Biological_Process_2023
Positive Regulation Of Myoblast Differentiation (GO:0045663),2/38,0.0383205096638641,0.3453327837515789,0,0,6.83264320220842,22.286510793694696,BTG1;ARID1B,GO_Biological_Process_2023
Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098),2/38,0.0383205096638641,0.3453327837515789,0,0,6.83264320220842,22.286510793694696,GRM5;FBXW7,GO_Biological_Process_2023
Positive Regulation Of Binding (GO:0051099),3/91,0.0383536887285547,0.3453327837515789,0,0,4.207883522727273,13.7215066089228,HMBOX1;CAPRIN2;STK3,GO_Biological_Process_2023
Negative Regulation Of Lens Fiber Cell Differentiation (GO:1902747),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,SPRED1,GO_Biological_Process_2023
Regulation Of Hepatocyte Proliferation (GO:2000345),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,FBXW7,GO_Biological_Process_2023
Regulation Of Mitotic Spindle Checkpoint (GO:1903504),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,CCNB1,GO_Biological_Process_2023
Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,DSG2,GO_Biological_Process_2023
Regulation Of Protein Depolymerization (GO:1901879),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,MAP1B,GO_Biological_Process_2023
Cellular Lipid Biosynthetic Process (GO:0097384),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,PEX7,GO_Biological_Process_2023
Positive Regulation Of Activin Receptor Signaling Pathway (GO:0032927),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,ACVR2B,GO_Biological_Process_2023
Contact Inhibition (GO:0060242),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,YAP1,GO_Biological_Process_2023
Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,LHX1,GO_Biological_Process_2023
Toll-Like Receptor 9 Signaling Pathway (GO:0034162),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,TNIP2,GO_Biological_Process_2023
Gastrulation With Mouth Forming Second (GO:0001702),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,LHX1,GO_Biological_Process_2023
Glycerol Ether Biosynthetic Process (GO:0046504),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,PEX7,GO_Biological_Process_2023
Inclusion Body Assembly (GO:0070841),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,TRIM37,GO_Biological_Process_2023
Positive Regulation Of Tau-Protein Kinase Activity (GO:1902949),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,HSP90AA1,GO_Biological_Process_2023
Positive Regulation Of Vesicle Fusion (GO:0031340),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,C2CD5,GO_Biological_Process_2023
Protein Localization To Non-Motile Cilium (GO:0097499),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,ARL13B,GO_Biological_Process_2023
Pteridine-Containing Compound Metabolic Process (GO:0042558),1/5,0.0400948972290188,0.3453327837515789,0,0,30.60648148148148,98.44593756514546,PRKG2,GO_Biological_Process_2023
Neuron Projection Extension (GO:1990138),2/39,0.0401801876721494,0.3453327837515789,0,0,6.647641430250126,21.36805396228198,HSP90AA1;MAP1B,GO_Biological_Process_2023
Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),2/39,0.0401801876721494,0.3453327837515789,0,0,6.647641430250126,21.36805396228198,HSP90AA1;CD47,GO_Biological_Process_2023
Negative Regulation Of Cell-Substrate Adhesion (GO:0010812),2/39,0.0401801876721494,0.3453327837515789,0,0,6.647641430250126,21.36805396228198,EFNA5;PLET1,GO_Biological_Process_2023
Retinoid Metabolic Process (GO:0001523),2/40,0.0420734103608312,0.3453327837515789,0,0,6.472376593658058,20.506685260093647,ADH1B;RDH11,GO_Biological_Process_2023
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091),2/41,0.0439995148379846,0.3453327837515789,0,0,6.306099697404045,19.697585903179565,ANK2;DSG2,GO_Biological_Process_2023
Positive Regulation Of Viral Process (GO:0048524),2/41,0.0439995148379846,0.3453327837515789,0,0,6.306099697404045,19.697585903179565,DDB1;MDFIC,GO_Biological_Process_2023
Regulation Of Amide Metabolic Process (GO:0034248),2/41,0.0439995148379846,0.3453327837515789,0,0,6.306099697404045,19.697585903179565,GRM5;SAMD8,GO_Biological_Process_2023
Ceramide Biosynthetic Process (GO:0046513),2/42,0.0459578466758083,0.3453327837515789,0,0,6.148136645962733,18.9364494896981,SAMD8;SGMS1,GO_Biological_Process_2023
Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427),2/42,0.0459578466758083,0.3453327837515789,0,0,6.148136645962733,18.9364494896981,ANK2;PLCG1,GO_Biological_Process_2023
Monoatomic Cation Transport (GO:0006812),2/42,0.0459578466758083,0.3453327837515789,0,0,6.148136645962733,18.9364494896981,PANX1;NDFIP2,GO_Biological_Process_2023
ATF6-mediated Unfolded Protein Response (GO:0036500),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,CREBZF,GO_Biological_Process_2023
GMP Biosynthetic Process (GO:0006177),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,HPRT1,GO_Biological_Process_2023
Regulation Of Lens Fiber Cell Differentiation (GO:1902746),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,SPRED1,GO_Biological_Process_2023
Neurotrophin TRK Receptor Signaling Pathway (GO:0048011),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,DDIT4,GO_Biological_Process_2023
Regulation Of Osteoclast Development (GO:2001204),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,FBXW7,GO_Biological_Process_2023
Nucleobase Catabolic Process (GO:0046113),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,DPYSL2,GO_Biological_Process_2023
Regulation Of Phospholipid Transport (GO:2001138),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,PRELID1,GO_Biological_Process_2023
Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,DSG2,GO_Biological_Process_2023
Placenta Blood Vessel Development (GO:0060674),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,ITGB8,GO_Biological_Process_2023
Ribosomal Large Subunit Export From Nucleus (GO:0000055),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,SDAD1,GO_Biological_Process_2023
Positive Regulation Of Fibroblast Apoptotic Process (GO:2000271),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,BTG1,GO_Biological_Process_2023
Positive Regulation Of Gastrulation (GO:2000543),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,LHX1,GO_Biological_Process_2023
Positive Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033148),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,YAP1,GO_Biological_Process_2023
Synaptic Signaling (GO:0099536),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,DPYSL2,GO_Biological_Process_2023
Positive Regulation Of Lymphocyte Apoptotic Process (GO:0070230),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,PRELID1,GO_Biological_Process_2023
Toll-Like Receptor 3 Signaling Pathway (GO:0034138),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,TNIP2,GO_Biological_Process_2023
Hyaluronan Biosynthetic Process (GO:0030213),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,HAS3,GO_Biological_Process_2023
Inositol Metabolic Process (GO:0006020),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,SLC5A3,GO_Biological_Process_2023
Protein Localization To Ciliary Membrane (GO:1903441),1/6,0.0479200597175463,0.3453327837515789,0,0,24.483950617283952,74.3876548622154,ARL13B,GO_Biological_Process_2023
