Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Membrane Lipid Biosynthetic Process (GO:0046467)	1/57	0.0113520947683085	0.0209577134184157	0	0	118.6904761904762	531.5378490507832	SAMD8
GO_Biological_Process_2023	Sphingolipid Biosynthetic Process (GO:0030148)	1/77	0.0153123040957573	0.0262496641641553	0	0	87.36842105263158	365.1212447515326	SAMD8
GO_Biological_Process_2023	Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)	1/77	0.0153123040957573	0.0262496641641553	0	0	87.36842105263158	365.1212447515326	MAP1B
GO_Biological_Process_2023	Integrin-Mediated Signaling Pathway (GO:0007229)	1/85	0.0168930527073478	0.0279609148259551	0	0	79.01587301587301	322.45214853576186	ITGB8
GO_Biological_Process_2023	Sphingolipid Metabolic Process (GO:0006665)	1/94	0.0186691195905268	0.0298705913448429	0	0	71.33691756272401	283.984027898932	SAMD8
GO_Biological_Process_2023	Axon Development (GO:0061564)	1/99	0.0196547831658258	0.0304332126438593	0	0	67.68027210884354	265.9451997254384	MAP1B
GO_Biological_Process_2023	Positive Regulation Of Vasculature Development (GO:1904018)	1/104	0.020639704165072	0.0309595562476081	0	0	64.37864077669903	249.82380515639144	ITGB8
GO_Biological_Process_2023	Cell-Matrix Adhesion (GO:0007160)	1/109	0.0216238829599905	0.0314529206690772	0	0	61.38271604938272	235.33868666577425	ITGB8
GO_Biological_Process_2023	Positive Regulation Of Angiogenesis (GO:0045766)	1/119	0.0235900153756559	0.0333035511185731	0	0	56.15254237288136	210.39974294913597	ITGB8
GO_Biological_Process_2023	Organonitrogen Compound Biosynthetic Process (GO:1901566)	1/123	0.0243756381306297	0.0334294465791494	0	0	54.30054644808743	201.6815193935306	SAMD8
GO_Biological_Process_2023	Plasma Membrane Bounded Cell Projection Organization (GO:0120036)	1/132	0.0261415561079558	0.0348554081439411	0	0	50.5470737913486	184.20511433882356	MAP1B
GO_Biological_Process_2023	Neuron Projection Morphogenesis (GO:0048812)	1/146	0.0288837738092721	0.0365122460152863	0	0	45.63448275862069	161.75029703137994	MAP1B
GO_Biological_Process_2023	Skeletal System Development (GO:0001501)	1/149	0.0294706377009846	0.0365122460152863	0	0	44.7027027027027	157.54845500306016	ITGB8
GO_Biological_Process_2023	Neuron Development (GO:0048666)	1/150	0.0296661998874201	0.0365122460152863	0	0	44.40044742729307	156.189537724504	MAP1B
GO_Biological_Process_2023	Generation Of Neurons (GO:0048699)	1/172	0.0339610961468496	0.0407533153762195	0	0	38.64522417153996	130.71900267520095	MAP1B
GO_Biological_Process_2023	Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	1/186	0.036686778924747	0.0422546917931186	0	0	35.69549549549549	117.98570753539192	ITGB8
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	1/188	0.0370756908391698	0.0422546917931186	0	0	35.31016042780749	116.33969615646092	MAP1B
GO_Biological_Process_2023	Neuron Projection Development (GO:0031175)	1/192	0.0378531613980021	0.0422546917931186	0	0	34.56369982547993	113.16296267411514	MAP1B
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	1/205	0.0403766897722567	0.044047297933371	0	0	32.33986928104575	103.79489604079704	ITGB8
GO_Biological_Process_2023	Negative Regulation Of Gene Expression (GO:0010629)	1/336	0.0655299740425344	0.0698986389787033	0	0	19.56318407960199	53.31452089259459	ITGB8
GO_Biological_Process_2023	Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	1/364	0.0708414603136072	0.0739215238055031	0	0	18.028466483011936	47.726954965901264	ITGB8
GO_Biological_Process_2023	Positive Regulation Of Gene Expression (GO:0010628)	1/480	0.0926053567077355	0.0945756834461979	0	0	13.581767571329156	32.31657036820083	ITGB8
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	1/1127	0.2070675046327445	0.2070675046327445	0	0	5.586145648312611	8.796561813338137	ITGB8
