,Term,Adjusted P-value,Fold_Enrichment,module,cohort
0,Spliceosome,4.488386449099372e-149,32.840583333333335,1039,symptomatic
0,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,8.171434229040987e-05,20.397701883179057,1041,symptomatic
0,Ribosome,3.2015984957697806e-87,19.861242129741353,1043,asymptomatic
1,RNA polymerase,3.2112134832750587e-55,64.74772036474164,1045,symptomatic
2,Prostate cancer,0.0391519646029548,7.78752650435037,1046,asymptomatic
2,Prostate cancer,0.0391519646029548,7.78752650435037,1046,symptomatic
8,Phototransduction,0.0393978068349627,27.66493506493506,1050,asymptomatic
8,Phototransduction,0.0393978068349627,27.66493506493506,1050,symptomatic
0,Protein processing in endoplasmic reticulum,1.9153843660650264e-09,27.34531450577664,1056,symptomatic
0,Signaling pathways regulating pluripotency of stem cells,0.0058699872359963,7.093573093573093,1094,asymptomatic
0,Signaling pathways regulating pluripotency of stem cells,0.0058699872359963,7.093573093573093,1094,symptomatic
0,Signaling pathways regulating pluripotency of stem cells,0.0292758329526654,7.840264998159735,1215,asymptomatic
0,Signaling pathways regulating pluripotency of stem cells,0.0292758329526654,7.840264998159735,1215,symptomatic
0,Prostate cancer,0.0182924945154251,27.451030927835053,1276,symptomatic
0,Prostate cancer,0.0182924945154251,27.451030927835053,1276,asymptomatic
1,Fc epsilon RI signaling pathway,0.0375679355085164,36.85467128027681,1319,asymptomatic
0,p53 signaling pathway,0.0127346911714131,53.0560398505604,1337,symptomatic
0,p53 signaling pathway,0.0127346911714131,53.0560398505604,1337,asymptomatic
0,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.0288424166562692,443.7916666666667,1379,symptomatic
0,Antigen processing and presentation,0.0225422122328476,60.68945868945869,1410,asymptomatic
0,Steroid biosynthesis,0.0239427634669806,177.51666666666665,1649,asymptomatic
0,Steroid biosynthesis,0.0239427634669806,177.51666666666665,1649,symptomatic
6,DNA replication,4.749695621391452e-05,12.903599861543785,1851,symptomatic
6,DNA replication,4.749695621391452e-05,12.903599861543785,1851,asymptomatic
0,Arrhythmogenic right ventricular cardiomyopathy,0.0428928168436115,69.16233766233766,2000,asymptomatic
0,Complement and coagulation cascades,1.2302308639408768e-11,250.61176470588234,2103,symptomatic
