pathway,pthwy_id,fold_enrichment,q-value,cohort
negative regulation of hyaluronan biosynthetic process,GO:1900126,7.497087378640777,0.027035038130420595,symptomatic
vasculogenesis involved in coronary vascular morphogenesis,GO:0060979,7.497087378640777,0.026931752406904184,symptomatic
negative regulation of triglyceride biosynthetic process,GO:0010868,7.497087378640777,0.02699621327910836,symptomatic
negative regulation of bicellular tight junction assembly,GO:1903347,7.497087378640777,0.02685480454288446,symptomatic
cardiac muscle tissue regeneration,GO:0061026,7.497087378640777,0.026867598637473733,symptomatic
positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,GO:1903378,7.497087378640777,0.02688040492853068,symptomatic
formation of radial glial scaffolds,GO:0021943,7.497087378640777,0.02689322343350375,symptomatic
actin modification,GO:0030047,7.497087378640777,0.026906054169874696,symptomatic
retinal cell programmed cell death,GO:0046666,7.497087378640777,0.026918897155158647,symptomatic
positive regulation of stress granule assembly,GO:0062029,7.497087378640777,0.027009142500027474,symptomatic
negative regulation of long-chain fatty acid import into cell,GO:0140213,7.497087378640777,0.027204577684542867,symptomatic
trigeminal ganglion development,GO:0061551,7.497087378640777,0.026983296430649457,symptomatic
Langerhans cell differentiation,GO:0061520,7.497087378640777,0.02695749978014214,symptomatic
negative regulation of long-chain fatty acid import across plasma membrane,GO:0010748,7.497087378640777,0.026944619942693437,symptomatic
negative regulation of dendrite extension,GO:1903860,7.497087378640777,0.02697039193689974,symptomatic
CRD-mediated mRNA stabilization,GO:0070934,7.269902912621359,2.4227316126345384e-05,symptomatic
corticosteroid receptor signaling pathway,GO:0031958,7.140083217753121,0.0020588375067446723,symptomatic
regulation of vitamin D biosynthetic process,GO:0060556,7.140083217753121,0.0020478444765789877,symptomatic
random inactivation of X chromosome,GO:0060816,7.140083217753121,0.0020494077166374448,symptomatic
glutathione transmembrane transport,GO:0034775,7.140083217753121,0.002050973345145189,symptomatic
negative regulation of hepatocyte apoptotic process,GO:1903944,7.140083217753121,0.0020525413675803153,symptomatic
post-embryonic camera-type eye development,GO:0031077,7.140083217753121,0.0020541117894376836,symptomatic
positive regulation of receptor binding,GO:1900122,7.140083217753121,0.0020556846162289835,symptomatic
negative regulation of hydrogen peroxide-mediated programmed cell death,GO:1901299,7.140083217753121,0.002057259853482799,symptomatic
odontoblast differentiation,GO:0071895,7.140083217753121,0.0020604175815771703,symptomatic
regulation of hydrogen peroxide-mediated programmed cell death,GO:1901298,6.997281553398058,0.00014722958148482665,symptomatic
glucocorticoid receptor signaling pathway,GO:0042921,6.6640776699029125,0.010872632315073046,symptomatic
intestinal epithelial cell maturation,GO:0060574,6.6640776699029125,0.010836085651829103,symptomatic
negative regulation of sequestering of triglyceride,GO:0010891,6.6640776699029125,0.010854328220266527,symptomatic
"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",GO:1900152,6.6640776699029125,6.023336319707194e-05,symptomatic
pyrimidine deoxyribonucleoside triphosphate metabolic process,GO:0009211,6.6640776699029125,0.010860422733585036,symptomatic
positive regulation of cell proliferation in bone marrow,GO:0071864,6.6640776699029125,0.010909426333059757,symptomatic
negative regulation of cytoplasmic translation,GO:2000766,6.6640776699029125,0.0008417478399862092,symptomatic
activation-induced cell death of T cells,GO:0006924,6.6640776699029125,0.010915582894195796,symptomatic
negative regulation of cardiac muscle adaptation,GO:0010616,6.6640776699029125,0.010848240543194027,symptomatic
positive regulation of cell proliferation involved in heart morphogenesis,GO:2000138,6.6640776699029125,0.010878747406363864,symptomatic
hair follicle maturation,GO:0048820,6.6640776699029125,0.010884869380143472,symptomatic
negative regulation of cardiac muscle hypertrophy in response to stress,GO:1903243,6.6640776699029125,0.010921746407970044,symptomatic
fungiform papilla development,GO:0061196,6.6640776699029125,0.010842159690871609,symptomatic
interleukin-11-mediated signaling pathway,GO:0038154,6.6640776699029125,0.010890998248037697,symptomatic
response to indole-3-methanol,GO:0071680,6.6640776699029125,0.01090327671280437,symptomatic
regulation of myofibroblast differentiation,GO:1904760,6.6640776699029125,0.01086652409467132,symptomatic
modulation by host of viral RNA genome replication,GO:0044830,6.6640776699029125,0.010897134021698564,symptomatic
positive regulation of fibroblast migration,GO:0010763,6.426074895977809,2.4275758459809546e-05,symptomatic
interleukin-6-mediated signaling pathway,GO:0070102,6.426074895977809,2.4307041653701053e-05,symptomatic
negative regulation of miRNA-mediated gene silencing,GO:0060965,6.426074895977809,2.4244555685439612e-05,symptomatic
somatic stem cell division,GO:0048103,6.361165048543689,0.0003331628580409659,symptomatic
negative regulation of miRNA processing,GO:1903799,6.361165048543689,0.00033284343056441657,symptomatic
regulation of epithelial cell differentiation,GO:0030856,6.359235668789809,0.030364317973533873,asymptomatic
regulation of transforming growth factor beta2 production,GO:0032909,6.247572815533981,0.004473295461356313,symptomatic
regulation of endodeoxyribonuclease activity,GO:0032071,6.247572815533981,0.004455086660292447,symptomatic
regulation of stress granule assembly,GO:0062028,6.247572815533981,0.004446037736811827,symptomatic
necroptotic signaling pathway,GO:0097527,6.247572815533981,0.004443029592199639,symptomatic
positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,GO:1902961,6.247572815533981,0.00444002551539626,symptomatic
negative regulation of stress-activated MAPK cascade,GO:0032873,6.247572815533981,0.004470250331702565,symptomatic
positive regulation of cell migration by vascular endothelial growth factor signaling pathway,GO:0038089,6.247572815533981,0.004467209345082359,symptomatic
internal peptidyl-lysine acetylation,GO:0018393,6.247572815533981,0.004464172493046273,symptomatic
intracellular transport of virus,GO:0075733,6.247572815533981,0.004461139767167845,symptomatic
positive regulation of microtubule nucleation,GO:0090063,6.247572815533981,0.004458111159043494,symptomatic
regulation of hepatocyte apoptotic process,GO:1903943,6.247572815533981,0.004449049957500723,symptomatic
regulation of hyaluronan biosynthetic process,GO:1900125,6.247572815533981,0.004452066262556656,symptomatic
growth hormone receptor signaling pathway via JAK-STAT,GO:0060397,5.997669902912621,0.0017739201119937877,symptomatic
negative regulation of gene silencing by regulatory ncRNA,GO:0060967,5.997669902912621,5.058592194886931e-05,symptomatic
cellular response to X-ray,GO:0071481,5.997669902912621,0.0017725111206419262,symptomatic
foregut morphogenesis,GO:0007440,5.997669902912621,0.0017753313451775536,symptomatic
negative regulation of post-transcriptional gene silencing,GO:0060149,5.997669902912621,5.070536922619839e-05,symptomatic
negative regulation of post-transcriptional gene silencing by regulatory ncRNA,GO:1900369,5.997669902912621,5.064557515871467e-05,symptomatic
voluntary musculoskeletal movement,GO:0050882,5.712066574202497,0.021060651086552334,symptomatic
regulation of epithelial cell proliferation involved in lung morphogenesis,GO:2000794,5.712066574202497,0.021092723144044548,symptomatic
negative regulation of centriole replication,GO:0046600,5.712066574202497,0.020965017453969607,symptomatic
regulation of myosin-light-chain-phosphatase activity,GO:0035507,5.712066574202497,0.020996798683055967,symptomatic
regulation of mast cell proliferation,GO:0070666,5.712066574202497,0.021071330929902515,symptomatic
vascular endothelial growth factor production,GO:0010573,5.712066574202497,0.020954445080064426,symptomatic
positive regulation of pinocytosis,GO:0048549,5.712066574202497,0.021049982063712138,symptomatic
chaperone-mediated autophagy,GO:0061684,5.712066574202497,0.020986194239276647,symptomatic
dorsal root ganglion development,GO:1990791,5.712066574202497,0.021082021610232246,symptomatic
regulation of cell proliferation in bone marrow,GO:0071863,5.712066574202497,0.021103435547875957,symptomatic
positive regulation of nuclease activity,GO:0032075,5.712066574202497,0.0210393238449457,symptomatic
inflammatory cell apoptotic process,GO:0006925,5.712066574202497,0.021114158838296624,symptomatic
response to luteinizing hormone,GO:0034699,5.712066574202497,0.02097560050164955,symptomatic
positive regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045737,5.712066574202497,0.0002593574389322493,symptomatic
ribosomal large subunit export from nucleus,GO:0000055,5.712066574202497,0.02100741384922536,symptomatic
limb joint morphogenesis,GO:0036022,5.712066574202497,0.021018039754055518,symptomatic
post-embryonic eye morphogenesis,GO:0048050,5.712066574202497,0.02102867641385008,symptomatic
regulation of calcidiol 1-monooxygenase activity,GO:0060558,5.712066574202497,0.020943883363794234,symptomatic
intestinal epithelial cell development,GO:0060576,5.6228155339805825,9.901910211663434e-05,symptomatic
positive regulation of cardiac epithelial to mesenchymal transition,GO:0062043,5.553398058252427,0.00814652207034595,symptomatic
glutathione transport,GO:0034635,5.553398058252427,0.008136742331966183,symptomatic
positive regulation of aspartic-type peptidase activity,GO:1905247,5.553398058252427,0.008156325346002202,symptomatic
regulation of epithelial tube formation,GO:1905276,5.553398058252427,0.008161235836878784,symptomatic
positive regulation of vascular associated smooth muscle cell apoptotic process,GO:1905461,5.553398058252427,0.008171074578092621,symptomatic
cellular response to insulin-like growth factor stimulus,GO:1990314,5.553398058252427,0.008185877249429745,symptomatic
negative regulation of stress-activated protein kinase signaling cascade,GO:0070303,5.553398058252427,0.00817600284985263,symptomatic
tripeptide transmembrane transport,GO:0035443,5.553398058252427,0.008151420760706952,symptomatic
embryonic foregut morphogenesis,GO:0048617,5.553398058252427,0.008180937070039626,symptomatic
positive regulation of epithelial tube formation,GO:1905278,5.553398058252427,0.008166152244009434,symptomatic
negative regulation of muscle adaptation,GO:0014745,5.553398058252427,0.008117253128775844,symptomatic
negative regulation of synapse assembly,GO:0051964,5.553398058252427,0.00820073365097136,symptomatic
regulation of chronic inflammatory response,GO:0002676,5.553398058252427,0.00821066791341954,symptomatic
response to oxygen-glucose deprivation,GO:0090649,5.553398058252427,0.008195775529054207,symptomatic
mesenchymal-epithelial cell signaling,GO:0060638,5.553398058252427,0.008126986046196438,symptomatic
positive regulation of myeloid cell apoptotic process,GO:0033034,5.553398058252427,0.008190823398825172,symptomatic
regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,GO:1902959,5.553398058252427,0.008122116671693026,symptomatic
regulation of attachment of mitotic spindle microtubules to kinetochore,GO:1902423,5.553398058252427,0.00820569777545742,symptomatic
coronary artery morphogenesis,GO:0060982,5.553398058252427,0.008141629264297694,symptomatic
regulation of branching involved in salivary gland morphogenesis,GO:0060693,5.553398058252427,0.00813186126278084,symptomatic
positive regulation of leukocyte apoptotic process,GO:2000108,5.5533980582524265,1.414291234285108e-07,symptomatic
fibroblast apoptotic process,GO:0044346,5.452427184466019,0.0032253513742210456,symptomatic
thymocyte apoptotic process,GO:0070242,5.452427184466019,0.003223037635789036,symptomatic
positive regulation of attachment of spindle microtubules to kinetochore,GO:0051987,5.452427184466019,0.003229988831265217,symptomatic
blood vessel endothelial cell differentiation,GO:0060837,5.452427184466019,0.003220727214544743,symptomatic
internal protein amino acid acetylation,GO:0006475,5.452427184466019,0.0032276684369898826,symptomatic
positive regulation of cytoplasmic translation,GO:2000767,5.33126213592233,0.0004707735494480454,symptomatic
positive regulation of lymphocyte apoptotic process,GO:0070230,5.292061679040548,0.00017843742414722088,symptomatic
regulation of establishment of endothelial barrier,GO:1903140,5.292061679040548,0.00017880609651116142,symptomatic
regulation of endothelial cell development,GO:1901550,5.292061679040548,0.00017862157009577322,symptomatic
negative regulation of anoikis,GO:2000811,5.2611139499233515,6.769400817978807e-05,symptomatic
regulation of anoikis,GO:2000209,5.197980582524273,3.550887969233144e-06,symptomatic
"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",GO:1900151,5.183171521035598,1.330773374156969e-06,symptomatic
inflammatory response to wounding,GO:0090594,4.998058252427185,0.0020938497338833743,symptomatic
ectodermal placode development,GO:0071696,4.998058252427185,0.002095444440459066,symptomatic
dosage compensation by inactivation of X chromosome,GO:0009048,4.998058252427185,0.0020922574527169227,symptomatic
negative regulation of calcium ion-dependent exocytosis,GO:0045955,4.998058252427184,0.034664189970714965,symptomatic
epithelial to mesenchymal transition involved in endocardial cushion formation,GO:0003198,4.998058252427184,0.005337393408242153,symptomatic
T-helper 17 cell lineage commitment,GO:0072540,4.998058252427184,0.01344866699985592,symptomatic
ectodermal placode formation,GO:0060788,4.998058252427184,0.005340859248117635,symptomatic
ectodermal placode morphogenesis,GO:0071697,4.998058252427184,0.005354767735742941,symptomatic
regulation of long-chain fatty acid import into cell,GO:0140212,4.998058252427184,0.03485361177383363,symptomatic
endothelial cell activation,GO:0042118,4.998058252427184,0.013455940481197108,symptomatic
positive regulation of nucleocytoplasmic transport,GO:0046824,4.998058252427184,3.3728971008900144e-14,symptomatic
regulation of aspartic-type peptidase activity,GO:1905245,4.998058252427184,0.013477808206789519,symptomatic
type I pneumocyte differentiation,GO:0060509,4.998058252427184,0.03464849771631446,symptomatic
protein localization to cytoplasmic stress granule,GO:1903608,4.998058252427184,0.034679896445554435,symptomatic
anoikis,GO:0043276,4.998058252427184,0.005344329592008549,symptomatic
cytoplasmic sequestering of transcription factor,GO:0042994,4.998058252427184,0.01348511325188805,symptomatic
ubiquitin-dependent protein catabolic process via the C-end degron rule pathway,GO:0140627,4.998058252427184,0.005358256183779255,symptomatic
postsynaptic neurotransmitter receptor internalization,GO:0098884,4.998058252427184,0.03479024157060848,symptomatic
embryonic cleavage,GO:0040016,4.998058252427184,0.03480606250811216,symptomatic
cellular response to antibiotic,GO:0071236,4.998058252427184,0.005351283827001403,symptomatic
regulation of attachment of spindle microtubules to kinetochore,GO:0051988,4.998058252427184,4.4549937092961154e-05,symptomatic
renal system vasculature morphogenesis,GO:0061438,4.998058252427184,0.034695617160171645,symptomatic
positive regulation of attachment of mitotic spindle microtubules to kinetochore,GO:1902425,4.998058252427184,0.03488538352567851,symptomatic
glomerular mesangium development,GO:0072109,4.998058252427184,0.034901291133305354,symptomatic
positive regulation of cardiac muscle cell differentiation,GO:2000727,4.998058252427184,0.03491721325517274,symptomatic
regulation of deoxyribonuclease activity,GO:0032070,4.998058252427184,0.013499747124109307,symptomatic
I-kappaB phosphorylation,GO:0007252,4.998058252427184,0.03493314991115411,symptomatic
germinal center formation,GO:0002467,4.998058252427184,0.013521757581376876,symptomatic
clathrin coat disassembly,GO:0072318,4.998058252427184,0.0349491011211592,symptomatic
negative regulation of cell adhesion mediated by integrin,GO:0033629,4.998058252427184,0.005361749179987716,symptomatic
regulation of pro-B cell differentiation,GO:2000973,4.998058252427184,0.034965066905134144,symptomatic
regulation of cardiac epithelial to mesenchymal transition,GO:0062042,4.998058252427184,0.013470511071864349,symptomatic
regulation of germinal center formation,GO:0002634,4.998058252427184,0.034981047283061534,symptomatic
postsynaptic endocytosis,GO:0140239,4.998058252427184,0.03486949041245496,symptomatic
prostate glandular acinus development,GO:0060525,4.998058252427184,0.01344140137748971,symptomatic
regulation of vascular associated smooth muscle cell apoptotic process,GO:1905459,4.998058252427184,0.005347804448700363,symptomatic
synaptic vesicle endosomal processing,GO:0099532,4.998058252427184,0.03482189784137336,symptomatic
regulation of cell proliferation involved in heart morphogenesis,GO:2000136,4.998058252427184,0.0003082828141431143,symptomatic
"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",GO:1900153,4.998058252427184,0.0008066013594230039,symptomatic
tongue morphogenesis,GO:0043587,4.998058252427184,0.013492426220028986,symptomatic
cellular response to leucine starvation,GO:1990253,4.998058252427184,0.013514412791816106,symptomatic
regulation of guanyl-nucleotide exchange factor activity,GO:1905097,4.998058252427184,0.034742864936604015,symptomatic
macrophage derived foam cell differentiation,GO:0010742,4.998058252427184,0.034727101386269804,symptomatic
regulation of dopaminergic neuron differentiation,GO:1904338,4.998058252427184,0.013463221834271349,symptomatic
negative regulation of fatty acid transport,GO:2000192,4.998058252427184,0.03483774759004945,symptomatic
kidney vasculature morphogenesis,GO:0061439,4.998058252427184,0.03471135213394043,symptomatic
negative regulation of gene expression via CpG island methylation,GO:0044027,4.998058252427184,0.03475864280442263,symptomatic
mitochondrial fragmentation involved in apoptotic process,GO:0043653,4.998058252427184,0.013507075977053992,symptomatic
regulation of cyclic-nucleotide phosphodiesterase activity,GO:0051342,4.998058252427184,0.034774435009240635,symptomatic
positive regulation of smooth muscle cell apoptotic process,GO:0034393,4.998058252427184,0.0008059011846318382,symptomatic
regulation of cytoplasmic translation,GO:2000765,4.846601941747573,5.40418343712644e-07,symptomatic
response to muscle stretch,GO:0035994,4.798135922330098,2.797395171566008e-05,symptomatic
positive regulation of protein import into nucleus,GO:0042307,4.760055478502081,1.652487353608492e-08,symptomatic
positive regulation of protein export from nucleus,GO:0046827,4.735002554931016,0.0005013417805638075,symptomatic
protein localization to cell-cell junction,GO:0150105,4.735002554931016,0.0005018025726415315,symptomatic
response to hepatocyte growth factor,GO:0035728,4.70405482581382,0.0013243280342431932,symptomatic
positive regulation of cyclin-dependent protein kinase activity,GO:1904031,4.70405482581382,0.0013221390622857663,symptomatic
regulation of miRNA processing,GO:1903798,4.70405482581382,0.001323232642982446,symptomatic
leukocyte apoptotic process,GO:0071887,4.679033257591406,3.837113813154472e-09,symptomatic
columnar/cuboidal epithelial cell maturation,GO:0002069,4.664854368932039,0.0033571434123391927,symptomatic
T-helper cell lineage commitment,GO:0002295,4.664854368932039,0.0033619324899602184,symptomatic
positive regulation of MHC class II biosynthetic process,GO:0045348,4.664854368932039,0.0033595362444221143,symptomatic
regulation of hematopoietic stem cell proliferation,GO:1902033,4.664854368932039,0.0033547539864229366,symptomatic
"negative regulation of DNA damage response, signal transduction by p53 class mediator",GO:0043518,4.664854368932039,0.0033523679594055665,symptomatic
motor neuron apoptotic process,GO:0097049,4.664854368932039,0.0033499853240399617,symptomatic
regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060211,4.664854368932039,0.003364332156262831,symptomatic
positive regulation of mitotic metaphase/anaphase transition,GO:0045842,4.664854368932039,0.0033476060730995923,symptomatic
SMAD protein signal transduction,GO:0060395,4.641054091539528,1.7116572504691515e-05,symptomatic
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060213,4.613592233009708,0.008323882813942453,symptomatic
regulation of immature T cell proliferation in thymus,GO:0033084,4.613592233009708,0.008304111120797696,symptomatic
regulation of miRNA-mediated gene silencing,GO:0060964,4.613592233009708,4.511461636455813e-05,symptomatic
regulation of sulfur metabolic process,GO:0042762,4.613592233009708,0.008294260455173974,symptomatic
peptidyl-lysine acetylation,GO:0018394,4.613592233009708,0.008313985212499,symptomatic
positive regulation of cell size,GO:0045793,4.613592233009708,0.008328840457071662,symptomatic
stress granule assembly,GO:0034063,4.613592233009708,4.5168971324033506e-05,symptomatic
primary miRNA processing,GO:0031053,4.613592233009708,0.008289343881104517,symptomatic
commissural neuron axon guidance,GO:0071679,4.613592233009708,0.00831893106925837,symptomatic
regulation of immature T cell proliferation,GO:0033083,4.613592233009708,0.008299182864939655,symptomatic
positive regulation of mitochondrial membrane permeability involved in apoptotic process,GO:1902110,4.613592233009708,0.008309045233168937,symptomatic
positive regulation of vascular associated smooth muscle cell proliferation,GO:1904707,4.59281028601417,5.414480631718671e-07,symptomatic
extrinsic apoptotic signaling pathway in absence of ligand,GO:0097192,4.54368932038835,3.8189632194566455e-06,symptomatic
regulation of helicase activity,GO:0051095,4.543689320388349,0.02094512265452831,symptomatic
epithelial cell differentiation involved in prostate gland development,GO:0060742,4.543689320388349,0.020924187999201444,symptomatic
positive regulation of hepatocyte proliferation,GO:2000347,4.543689320388349,0.020955605698899947,symptomatic
regulation of cardioblast proliferation,GO:0003264,4.543689320388349,0.020913736356844202,symptomatic
tripeptide transport,GO:0042939,4.543689320388349,0.020934650093201047,symptomatic
negative regulation of miRNA metabolic process,GO:2000629,4.514375195740683,1.0223281673803294e-05,symptomatic
negative regulation of cell junction assembly,GO:1901889,4.514375195740683,1.0209372447036215e-05,symptomatic
positive regulation of ubiquitin-protein transferase activity,GO:0051443,4.4982524271844655,0.0007893041068750992,symptomatic
regulation of extracellular matrix assembly,GO:1901201,4.4982524271844655,0.0007886159603128714,symptomatic
positive regulation of muscle cell apoptotic process,GO:0010661,4.481017743555407,2.714627370142692e-05,symptomatic
negative regulation of miRNA transcription,GO:1902894,4.481017743555407,2.711195477133662e-05,symptomatic
regulation of fibroblast migration,GO:0010762,4.471946857434849,8.680563282698316e-07,symptomatic
positive regulation of smooth muscle cell proliferation,GO:0048661,4.46885208452313,8.06965093611801e-15,symptomatic
coronary vasculature morphogenesis,GO:0060977,4.442718446601942,0.0020272532581348673,symptomatic
regulation of epidermal growth factor-activated receptor activity,GO:0007176,4.442718446601942,0.00203038657074404,symptomatic
regulation of regulatory ncRNA processing,GO:0070920,4.442718446601942,0.0020288187046662454,symptomatic
cardiac epithelial to mesenchymal transition,GO:0060317,4.442718446601941,6.985928154565426e-05,symptomatic
regulation of post-transcriptional gene silencing by regulatory ncRNA,GO:1900368,4.442718446601941,6.970051045123232e-05,symptomatic
negative regulation of stem cell differentiation,GO:2000737,4.442718446601941,6.977980568496523e-05,symptomatic
vascular endothelial growth factor signaling pathway,GO:0038084,4.398291262135923,0.00018026157550127362,symptomatic
positive regulation of cardiac muscle cell proliferation,GO:0060045,4.398291262135923,0.00018044683919654728,symptomatic
regulation of cardiac muscle cell differentiation,GO:2000725,4.373300970873787,0.00505101747739442,symptomatic
positive regulation of metaphase/anaphase transition of cell cycle,GO:1902101,4.373300970873787,0.005047687867982821,symptomatic
myeloid cell apoptotic process,GO:0033028,4.373300970873787,0.005044362645408393,symptomatic
sex-chromosome dosage compensation,GO:0007549,4.373300970873787,0.005037725326138119,symptomatic
regulation of receptor binding,GO:1900120,4.373300970873787,0.005041041801007203,symptomatic
positive regulation of blood vessel endothelial cell migration,GO:0043536,4.361941747572816,3.4726784507755926e-09,symptomatic
regulation of smooth muscle cell apoptotic process,GO:0034391,4.331650485436893,4.167150313153095e-05,symptomatic
T cell apoptotic process,GO:0070231,4.331650485436893,4.172207534406922e-05,symptomatic
lymphocyte apoptotic process,GO:0070227,4.322644975072159,3.5382207027576034e-06,symptomatic
columnar/cuboidal epithelial cell development,GO:0002066,4.316504854368931,2.939829745900262e-07,symptomatic
intrinsic apoptotic signaling pathway in response to oxidative stress,GO:0008631,4.284049930651873,0.0012041691011724749,symptomatic
cellular response to growth hormone stimulus,GO:0071378,4.284049930651873,0.001205175090396512,symptomatic
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",GO:0006977,4.284049930651873,0.0012071921198365063,symptomatic
positive regulation of glial cell proliferation,GO:0060252,4.284049930651873,0.0012061827618767768,symptomatic
cellular response to epidermal growth factor stimulus,GO:0071364,4.284049930651873,7.905040415019653e-07,symptomatic
response to parathyroid hormone,GO:0071107,4.2840499306518725,0.012366846887348477,symptomatic
lipoprotein catabolic process,GO:0042159,4.2840499306518725,0.012326032211152606,symptomatic
regulation of RNA export from nucleus,GO:0046831,4.2840499306518725,0.01233281593829138,symptomatic
positive regulation of T cell apoptotic process,GO:0070234,4.2840499306518725,0.01234640581811319,symptomatic
regulation of DNA methylation,GO:0044030,4.2840499306518725,0.012353211995521191,symptomatic
positive regulation of miRNA transcription,GO:1902895,4.2840499306518725,5.311274623791235e-09,symptomatic
regulation of keratinocyte migration,GO:0051547,4.2840499306518725,0.012373675626656786,symptomatic
regulation of post-transcriptional gene silencing,GO:0060147,4.2840499306518725,0.0001073371862958215,symptomatic
signal transduction in absence of ligand,GO:0038034,4.2840499306518725,9.334032126860138e-06,symptomatic
