##DEPset=2057,background_set=13434
p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
4.90196736787e-17	1.30570585344e-15	Gastric cancer - Homo sapiens (human)	KEGG	path:hsa05226	WNT3A; TGFB1; TGFB2; SMAD4; PIK3CD; EGFR; BAX; GAB1; CTNNB1; FGF7; AKT2; AKT3; SOS2; RARB; AXIN2; FZD6; FRAT1; CCNE2; FZD9; CCNE1; RPS6KB1; RB1; DVL2; ABCB1; PIK3R3; PIK3R2; PIK3R1; CDH1; MYC; KRAS; ERBB2; TGFBR2; TGFBR1; SHC1; MTOR; SMAD2; HGF; TP53; SMAD3; FGFR2; FZD5; E2F3; CSNK1A1; E2F1; AKT1; CCND1; WNT1; MAP2K1; TCF7L2; GSK3B; MET; BRAF; PIK3CA; APC; WNT5A; TCF7L1; BCL2	4609; 3082; 2064; 999; 5295; 2549; 6198; 581; 595; 596; 8313; 5243; 8323; 8326; 4233; 673; 5290; 5293; 7855; 5296; 89780; 2252; 207; 208; 2263; 3845; 7042; 10000; 6934; 5915; 5925; 10023; 7471; 7474; 1856; 324; 8503; 1869; 1871; 2932; 4087; 7040; 6464; 898; 7046; 7048; 1956; 2475; 1452; 9134; 4089; 1499; 5604; 83439; 7157; 4088; 6655	149	149
6.13790245237e-17	1.36028650514e-15	Cell cycle - Homo sapiens (human)	KEGG	path:hsa04110	HDAC1; TGFB1; TGFB2; YWHAQ; CDKN1C; ATM; PKMYT1; SMAD3; HDAC2; GSK3B; CDC7; YWHAZ; CCNA2; CDKN2D; CCNE2; CCNE1; RB1; SMAD4; YWHAH; PTTG1; WEE1; CHEK2; CUL1; CHEK1; CDKN2A; RBL2; RAD21; CDC25A; STAG1; CCNB1; MCM7; MCM3; SMAD2; TP53; MDM2; EP300; MYC; CCNB2; E2F5; E2F3; E2F1; CCND1; CCND2; CDC23; YWHAG; CDK1; CDK4; CDK6; YWHAE; TFDP1; CDC20	4609; 1028; 1029; 1032; 9232; 9088; 8697; 4172; 4176; 595; 1111; 4193; 8317; 10274; 10971; 5885; 7040; 8454; 898; 5925; 7465; 5934; 1869; 1871; 1875; 7531; 7532; 7533; 7534; 7027; 2932; 890; 891; 894; 7042; 3065; 9133; 9134; 4089; 7157; 11200; 4087; 4088; 983; 472; 991; 993; 2033; 3066; 1019; 1021	124	124
6.33933516228e-17	1.36028650514e-15	Human papillomavirus infection - Homo sapiens (human)	KEGG	path:hsa05165	PTGS2; IKBKB; AKT1; AKT2; AKT3; PTGER4; PIK3CA; RBPJ; PIK3CD; PARD6B; FADD; CREB5; CREB1; FASLG; MDM2; KRAS; CCND1; PPP2CB; TCF7L1; TCF7L2; GSK3B; TLR3; APC; ITGA9; CCND2; ITGA2; ITGA5; ITGA6; PTEN; CCNE2; CCNE1; THBS1; PIK3R3; PIK3R2; PIK3R1; JAK1; CDK4; CHUK; VEGFA; COL4A1; LAMC2; LAMC1; STAT2; TBPL1; TP53; CSNK1A1; GNAS; ATP6V1G1; HES1; WNT5A; PPP2R5C; WNT3A; PDGFRB; HDAC2; ATM; FZD5; FZD6; FZD9; RPS6KB1; NFKB1; RBL2; MTOR; EP300; SOS2; WNT1; FOXO1; PRKACA; CDK6; PRKACB; CDC42; PPP2R1B; PTK2; EGFR; BAX; CTNNB1; MAP2K1; CCNA2; AXIN2; FAS; RB1; DVL2; ATP6V1B2; JAG1; ITGB1; ITGB8; TNF; HDAC1; CASP3; E2F1; NOTCH1; NOTCH2; SCRIB; ATP6V0E1; ATP6V1C1	526; 528; 3673; 836; 2308; 5295; 3845; 5159; 581; 3680; 8772; 3655; 595; 3678; 5728; 4193; 5734; 3688; 3696; 5747; 5566; 8313; 1147; 8323; 8326; 6773; 3551; 5290; 5293; 7855; 5296; 7422; 89780; 4790; 207; 208; 2778; 3280; 4851; 1282; 10000; 6934; 84612; 6198; 8992; 5925; 5934; 7471; 7474; 1856; 324; 3915; 1869; 3918; 4853; 182; 355; 356; 1385; 9586; 2932; 890; 1956; 894; 9519; 8503; 898; 5516; 5519; 7057; 5527; 2475; 1452; 9134; 7098; 5743; 3516; 5567; 7124; 9550; 3065; 472; 23513; 1499; 5604; 998; 83439; 2033; 3716; 7157; 3066; 1019; 1021; 6655	331	331
6.49966248189e-17	1.36028650514e-15	MicroRNAs in cancer - Homo sapiens (human)	KEGG	path:hsa05206	PTGS2; BCL2L2; TIMP3; ZFPM2; IKBKB; MDM4; DNMT1; PIK3CD; MYC; BRCA1; CDKN2A; DDIT4; SHC1; MDM2; SERPINB5; KRAS; SOCS1; CCND1; CCND2; KIF23; PTEN; BMPR2; PAK4; APC; FOXP1; STMN1; RASSF1; ITGA5; CRK; CCNE2; CCNE1; THBS1; PIK3R3; PIK3R2; PIK3R1; SIRT1; CDC25A; VEGFA; STAT3; ZEB1; ZEB2; UBE2I; TP53; RPS6KA5; PIK3CA; WNT3A; PDGFRB; HDAC2; HDAC4; RECK; ATM; SPRY2; CYP1B1; HNRNPK; NFKB1; PDCD4; EFNA5; HMGA2; MTOR; IGF2BP1; EP300; COMMD3-BMI1; DICER1; SOS2; MAP2K1; MET; CDK6; ERBB2; TGFB2; EGFR; PLCG1; EZH2; MCL1; BCL2L11; ABCB1; DNMT3B; PIM1; CD44; PRKCE; BMI1; PLAU; HDAC1; E2F3; CASP3; E2F1; NOTCH1; NOTCH2; MMP9; ABCC1; BCL2	4609; 10253; 7157; 2064; 9759; 9252; 5159; 324; 11186; 1545; 10298; 3190; 4170; 2146; 54541; 595; 596; 599; 3678; 5728; 4193; 4194; 9839; 27250; 6774; 5243; 648; 4233; 5268; 3551; 5743; 672; 7329; 5290; 5292; 5293; 5295; 5296; 23411; 89780; 23414; 4790; 5581; 1029; 10018; 5328; 5335; 4318; 100532731; 8434; 4851; 894; 1786; 1789; 7422; 3845; 4363; 7042; 9493; 6935; 8503; 6464; 836; 1869; 3925; 23405; 659; 1398; 898; 1871; 7057; 10642; 3065; 8091; 1946; 7078; 2475; 9134; 4853; 960; 8651; 27086; 472; 1956; 3066; 993; 5604; 2033; 1021; 6655	310	310
1.15321493225e-16	2.25261316767e-15	Breast cancer - Homo sapiens (human)	KEGG	path:hsa05224	WNT3A; BRCA1; MAP2K1; PIK3CD; EGFR; BAX; TCF7L1; CTNNB1; AKT1; AKT2; AKT3; TCF7L2; SOS2; NCOA3; FZD5; FZD6; FRAT1; PIK3CA; RPS6KB1; RB1; DVL2; PIK3R3; PIK3R2; PIK3R1; MYC; JAG1; ERBB2; IGF1R; SHC1; FOS; SP1; JUN; MTOR; APC; FGF7; E2F3; KRAS; NFKB2; AXIN2; ESR2; CSNK1A1; E2F1; ESR1; CCND1; WNT1; NOTCH1; NOTCH2; GSK3B; PTEN; CDK4; BRAF; CDK6; FZD9; HES1; WNT5A; TP53	4609; 8202; 6667; 2064; 7855; 2099; 2100; 6198; 581; 595; 5728; 8323; 8326; 3725; 673; 5290; 5293; 5295; 5296; 89780; 182; 4791; 2252; 207; 3280; 8313; 208; 10023; 4851; 4853; 3845; 10000; 6934; 1499; 5925; 7471; 2353; 7474; 8503; 6464; 324; 1869; 1871; 2932; 1856; 3480; 1956; 2475; 1452; 672; 5604; 83439; 7157; 1019; 1021; 6655	147	147
9.40147356904e-16	1.72164484733e-14	FoxO signaling pathway - Homo sapiens (human)	KEGG	path:hsa04068	TGFB1; TGFB2; TNFSF10; IGF1R; MAP2K1; SMAD4; FOXG1; ATM; EGFR; TGFBR1; PRKAA1; SMAD3; IKBKB; AKT1; FOXO1; AKT3; IRS4; STAT3; RBL2; PIK3CA; PIK3CD; CCND1; PIK3R3; PIK3R2; PIK3R1; MAPK8; BNIP3; TGFBR2; SIRT1; PRKAB2; CDKN2D; CHUK; ATG12; FASLG; BCL2L11; MDM2; EP300; SETD7; KRAS; CCNB2; CCNB1; MAPK9; SOS2; IL10; CCND2; AKT2; IL6; PTEN; BRAF; PDPK1; BCL6	3586; 1032; 8743; 5170; 604; 5728; 4193; 5565; 6774; 1147; 664; 673; 5290; 5293; 5295; 5296; 207; 208; 2290; 894; 2308; 3845; 10000; 5934; 8471; 10018; 8503; 5599; 356; 23411; 891; 7040; 7042; 7046; 7048; 3480; 1956; 2033; 9133; 9140; 5562; 80854; 4089; 472; 3551; 5601; 5604; 3569; 595; 4088; 6655	131	131
1.19650080637e-15	2.06220433098e-14	Apoptosis - Homo sapiens (human)	KEGG	path:hsa04210	FAS; TNFSF10; PMAIP1; ACTG1; MAP2K1; JUN; NFKBIA; BAX; IKBKB; TNFRSF10B; AKT2; AKT3; MCL1; EIF2S1; BCL2L11; TUBA1C; TUBA1B; BID; PIK3CD; CFLAR; PIK3R3; PIK3R2; PIK3R1; FADD; NFKB1; MAPK8; MAPK9; ATM; FOS; CTSD; CHUK; PARP1; TNF; FASLG; TP53; LMNA; ITPR1; KRAS; CASP7; CASP2; CASP3; AKT1; PTPN13; XIAP; MAP3K14; CASP9; DIABLO; PIK3CA; PDPK1; ACTB; AIFM1; BCL2	8743; 5170; 60; 8772; 581; 71; 4170; 596; 8795; 1147; 3708; 8837; 10376; 142; 5783; 5290; 5293; 5295; 5296; 4790; 4792; 207; 208; 637; 5366; 3845; 10000; 10018; 2353; 56616; 3551; 9020; 835; 836; 84790; 840; 842; 3725; 5604; 355; 356; 8503; 4000; 9131; 1965; 7157; 331; 7124; 472; 5599; 5601; 1509	136	136
1.63134485332e-15	2.65546690012e-14	Chronic myeloid leukemia - Homo sapiens (human)	KEGG	path:hsa05220	HDAC1; TGFB1; TGFB2; HDAC2; SMAD4; NFKBIA; BAX; SMAD3; IKBKB; AKT1; AKT2; AKT3; CRK; PIK3CA; PIK3CD; RB1; PIK3R3; PIK3R2; PIK3R1; NFKB1; MYC; TGFBR2; TGFBR1; CDKN2A; SHC1; CHUK; TP53; MDM2; KRAS; E2F3; SOS2; E2F1; CCND1; MAP2K1; CDK4; BRAF; CDK6	7040; 4609; 3845; 1871; 1019; 10000; 7046; 3065; 7042; 673; 5925; 5290; 5293; 1029; 5295; 5296; 7048; 4790; 8503; 4792; 6464; 1869; 207; 208; 4088; 595; 4089; 3551; 4193; 5604; 581; 7157; 1398; 3066; 1147; 1021; 6655	76	76
8.27183657175e-15	1.27560427133e-13	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	KEGG	path:hsa05167	PTGS2; PPP3R1; NFATC1; IL6ST; PIK3CD; RPS27A; MAP2K1; BAX; PIK3R3; CTNNB1; AKT1; AKT2; AKT3; MAP2K4; CASP9; EP300; CALM2; STAT2; PIK3CA; BID; FOS; JUN; RB1; JAK2; PIK3R2; PIK3R1; FADD; NFKB1; MYC; MAPK9; FAS; NFKBIA; BECN1; RAC1; GNB5; JAK1; CHUK; CREB1; LYN; VEGFA; HIF1A; STAT3; ITPR1; MAPK8; KRAS; IKBKB; E2F3; CASP3; E2F1; CCND1; CXCL8; PLCG1; TCF7L2; GSK3B; IL6; TLR3; GNG5; CDK4; TP53; CDK6; UBC; MTOR; TCF7L1	4609; 5293; 8772; 581; 805; 595; 6233; 6416; 208; 5743; 3091; 6773; 6774; 1385; 1147; 3708; 637; 3716; 3717; 3725; 7316; 4772; 5290; 5295; 5296; 4790; 4792; 2932; 207; 5335; 2787; 5879; 7422; 3845; 10000; 6934; 5925; 2353; 5599; 836; 842; 8503; 1869; 1871; 4067; 355; 83439; 5534; 3569; 2475; 10681; 7098; 1499; 3551; 5601; 5604; 8678; 2033; 3572; 7157; 3576; 1019; 1021	193	193
1.00646039841e-14	1.47446448367e-13	Non-small cell lung cancer - Homo sapiens (human)	KEGG	path:hsa05223	MAP2K1; RASSF1; EGFR; BAX; AKT1; AKT2; AKT3; RB1; RARB; STAT3; PIK3CA; PIK3CD; EML4; PIK3R3; PIK3R2; PIK3R1; ERBB2; CDKN2A; RASSF5; RET; HGF; TP53; KRAS; E2F3; SOS2; E2F1; CCND1; KIF5B; PLCG1; CASP9; MET; CDK4; BRAF; CDK6; PDPK1	5170; 1029; 83593; 3082; 3799; 10000; 4233; 6655; 5915; 3845; 673; 1956; 5925; 5290; 27436; 5293; 581; 5295; 5296; 11186; 842; 8503; 1869; 1871; 208; 595; 5335; 5604; 207; 2064; 5979; 7157; 6774; 1019; 1021	72	72
