Term,Asymptomatic,Symptomatic
Rap1 signaling pathway,,2.3675519976672884e-05
Ras signaling pathway,,4.800762097239433e-10
Regulation of actin cytoskeleton,,2.719735127705334e-05
Regulation of lipolysis in adipocytes,,0.0007882935074068374
Relaxin signaling pathway,,1.497732145943766e-09
Renal cell carcinoma,,2.4644533819310688e-14
Rheumatoid arthritis,,0.0009876248311007658
Ribosome,,0.0032054415242688
Salmonella infection,,2.055228460434489e-14
Shigellosis,,3.321340004972293e-16
Signaling pathways regulating pluripotency of stem cells,,7.188849765115002e-14
Small cell lung cancer,,1.3425384626206308e-14
Sphingolipid signaling pathway,,6.052384971836773e-09
Spinocerebellar ataxia,,4.966955669942532e-05
T cell receptor signaling pathway,,1.1627692572382932e-10
TGF-beta signaling pathway,,1.916768102796521e-09
TNF signaling pathway,,3.114537479582951e-14
Th1 and Th2 cell differentiation,,0.0003208206497497464
Th17 cell differentiation,,2.4777474835886133e-06
Thermogenesis,,0.0001222009705261175
Thyroid cancer,,0.0001222009705261175
Thyroid hormone signaling pathway,,2.7720256364311225e-12
Tight junction,,2.081042180963993e-05
Toll-like receptor signaling pathway,,1.1278197927866225e-07
Toxoplasmosis,,1.9960121683376045e-07
Transcriptional misregulation in cancer,,2.265632215238266e-06
Tuberculosis,,0.0008463914956796613
Type II diabetes mellitus,,8.780291183641504e-07
Ubiquitin mediated proteolysis,,1.2451120973218144e-10
VEGF signaling pathway,,2.7729610765497183e-06
Vasopressin-regulated water reabsorption,,0.0028136413217571
Vibrio cholerae infection,,0.0222482077005675
Viral carcinogenesis,,9.641604396032428e-16
Wnt signaling pathway,,5.327864030760028e-06
Yersinia infection,,2.1508125323746612e-10
cAMP signaling pathway,,2.1677633421526493e-05
cGMP-PKG signaling pathway,,0.007174755927299
mTOR signaling pathway,,8.852725116515603e-10
p53 signaling pathway,,1.0876309278655617e-12
